time_period,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,enrolments,present_sessions,overall_attendance,approved_educational_activity,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,total_num_schools,total_enrolments,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,pa_perc,time_identifier
202324,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Primary,284.1348315,50940.05618,16474952,16646830,171878,902432,681860,220572,162595,17549262,8117378,8217802,16335180,139772,559627,42056,8959,11,2774,15903,5331,47143,43394,7880,329,7961,120194,0,106717,22823,83148,7884,300,62949,94.85772108,5.142278917,3.885405552,1.256873366,3.188891932,0.239645405,0.608099645,0.473797702,0.130051053,0.044924966,0.05105058,6.26806984817937e-05,0.015806933,0.090619195,0.030377346,0.268632379,12.60554212,Academic year
202324,Local authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,941,Primary,135.7383721,27981.05233,8835238,8933671,98433,483476,362927,120549,91838,9417147,4355730,4398400,8754130,81108,292892,24875,2016,1,823,2461,3196,36662,21735,5336,223,11727,64746,2,45591,10730,58028,6200,148,35013,94.86600347,5.133996528,3.853895453,1.280101075,3.110198874,0.264145818,0.484127518,0.616195117,0.113941091,0.06583735,0.021407758,1.06189273672801e-05,0.008739377,0.02613318,0.033938092,0.389311115,13.60305932,Academic year
202324,Local authority,E92000001,England,E12000006,East of England,E10000015,Hertfordshire,919,Primary,343.2716763,71530.19653,22774914,23004595,229681,1305311,1008994,296317,250956,24309906,11210675,11350585,22561260,213654,798399,70996,7191,13,5587,12129,7022,107656,23064,9852,972,29466,176173,6,116344,37302,126651,16020,398,101071,94.63053868,5.369461322,4.150546695,1.218914627,3.284253752,0.292045555,0.478586795,0.520985149,0.153443621,0.065899062,0.029580534,5.34761426062281e-05,0.022982401,0.049893241,0.028885344,0.442848278,13.54584176,Academic year
202324,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Primary,72.88372093,15625.03488,4828030,4874971,46941,310724,211105,99619,56085,5185695,2366840,2409005,4775845,52185,178903,13947,1068,3,1404,2775,1097,11908,12858,11989,7,1103,32973,0,53272,3900,38025,4422,81,23146,94.00805485,5.991945149,4.070910457,1.921034693,3.449932941,0.268951413,1.027287567,0.73326719,0.075206891,0.085273044,0.020595118,5.78514548194601e-05,0.027074481,0.053512596,0.021154349,0.229631708,17.47319969,Academic year
202324,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Primary,45.84302326,11197.30233,3583048,3611530,28482,214473,135835,78638,41111,3826003,1760833,1786809,3547642,35406,112875,9670,160,3,1,2349,1477,9300,1686,8161,37,5391,21364,4,28785,5705,43189,959,46,13698,94.39433268,5.605667324,3.55031086,2.055356465,2.950206782,0.252744182,0.752351736,1.128828179,0.149111227,0.025065323,0.00418191,7.8410811491784e-05,2.6136937163928e-05,0.061395665,0.038604256,0.243073516,15.61829288,Academic year
202324,Local authority,E92000001,England,E12000005,West Midlands,E10000031,Warwickshire,937,Primary,191.8089888,39315.87079,12309884,12425462,115578,743846,586144,157702,142436,13169308,6049790,6134176,12183966,125918,467065,32453,4220,11,2965,14816,6490,58121,8390,613,203,6998,99985,2,53409,16518,82859,4916,194,46071,94.35166981,5.648330193,4.450833711,1.197496482,3.546617635,0.246429045,0.405556617,0.629182642,0.125428003,0.03732922,0.032044205,8.3527547537046e-05,0.022514471,0.112504013,0.049281253,0.441336781,14.92821812,Academic year
202324,Local authority,E92000001,England,E12000007,London,E09000005,Brent,304,Primary,54.94186047,20051.57558,6080082,6129105,49023,331373,243577,87796,92291,6460478,2960358,3032667,5993025,87057,193408,16349,9563,15,60,2491,1375,20316,5594,1501,2934,4237,36256,2,24315,5234,47292,10955,59,25381,94.87076653,5.129233472,3.77026282,1.358970652,2.993710373,0.25306177,0.37636534,0.732020138,0.081015677,0.169569496,0.148023103,0.000232181,0.000928724,0.038557518,0.021283255,0.314465896,15.43353138,Academic year
202324,Local authority,E92000001,England,E12000007,London,E09000002,Barking and Dagenham,301,Primary,38.91860465,17323.69186,5478520,5526861,48341,322565,213677,108888,99067,5849426,2653201,2732811,5386012,92508,172778,12605,6116,1,0,1888,819,19470,10749,4310,2033,4316,31243,0,29944,6559,69086,3299,43,24539,94.4855273,5.514472702,3.652956717,1.861515985,2.953759907,0.215491229,0.511913477,1.181073151,0.11213066,0.056398696,0.104557268,1.70956945177185e-05,0,0.032276671,0.014001374,0.332853172,17.43587102,Academic year
202324,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Primary,75.98314607,26519.25843,8340246,8417668,77422,538665,355212,183453,119072,8956333,4078307,4158833,8237140,103106,269933,17733,30650,3,1402,2533,1283,31674,5062,6266,150,7738,64470,2,61268,15966,99657,6562,81,32912,93.98565239,6.014347613,3.966042799,2.048304814,3.013878559,0.197993978,0.68407461,1.11269869,0.178264922,0.073266592,0.342215949,3.34958514829674e-05,0.015653728,0.028281664,0.014325059,0.3536492,17.92053212,Academic year
202324,Local authority,E92000001,England,E12000004,East Midlands,E06000017,Rutland,857,Primary,15.04191617,2053.347305,638525,648644,10119,29261,25463,3798,3884,677905,318050,316919,634969,3556,20181,1625,10,0,415,221,81,2930,826,758,10,3206,6077,0,1454,328,1807,209,17,2560,95.68361349,4.316386514,3.756131021,0.560255493,2.976965799,0.239709104,0.21448433,0.266556523,0.048384361,0.030830279,0.001475133,0,0.061218017,0.032600438,0.011948577,0.432213953,8.864767074,Academic year
202324,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,Primary,275.5617978,33632.89326,11055461,11182392,126931,615564,468470,147094,107629,11797956,5463330,5499716,10963046,92415,360569,34783,2204,1,3092,21220,4855,41741,25878,87813,158,18757,82128,10,78906,15214,49665,3309,294,42824,94.78245215,5.217547853,3.970772564,1.246775289,3.056198887,0.294822256,0.668810767,0.42096275,0.128954541,0.028047231,0.018681202,8.47604449448701e-06,0.02620793,0.179861664,0.041151196,0.353798573,12.60123097,Academic year
202324,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Primary,186.75,29093.10465,9024156,9130624,106468,488786,391508,97278,78246,9619410,4467081,4491698,8958779,65377,304355,24664,591,22,1317,10406,2975,47173,26718,1942,723,10097,68930,0,40946,12869,37034,6429,200,35248,94.91875281,5.081247187,4.069979344,1.011267843,3.163967437,0.256398261,0.425660202,0.384992427,0.133781594,0.066833621,0.006143828,0.000228704,0.013691068,0.108177113,0.030927053,0.490393901,12.24601162,Academic year
