"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","attendance_date","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_grt_absence","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_b_aea_education_off_site","reason_d_aea_dual_registration","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","reason_x_not_attending_covid_non_compulsory","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_grt_perc","auth_holiday_perc","auth_excluded_perc","auth_other_perc","covid_non_compulsory_perc"
2022,"Week 37","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E06000014","York","816",2022-09-12,"Primary",46,10524,20097,20169,72,764,567,197,107,20933,9979,10033,20012,85,406,47,0,0,4,18,4,69,70,53,0,0,2,0,108,22,57,10,19,50,13858,"96.3502603544642","3.64973964553576","2.70864185735442","0.94109778818134","1.93952132995748","0.22452586824631","0.515931782353222","0.272297329575312","0.105097214923805","0.0477714613290021","0","0","0.0191085845316008","0.0859886303922037","0.0191085845316008","0.329623083170114","0.0907657765251039"
2022,"Week 37","Local authority","E92000001","England","E12000004","East Midlands","E10000019","Lincolnshire","925",2022-09-12,"Primary",210,36523,69488,69770,282,2881,1973,908,405,72651,36154,32978,69132,356,1540,166,2,2,6,30,12,205,17,32,0,104,161,0,431,49,385,43,10,280,56826,"96.034466146371","3.96553385362899","2.71572311461645","1.24981073901254","2.11972305955871","0.228489628497887","0.593247167967406","0.529930764889678","0.0674457337132318","0.0591870724422238","0.00275288709033599","0.00275288709033599","0.00825866127100797","0.0412933063550398","0.0165173225420159","0.282170926759439","0.0137644354516799"
2022,"Week 37","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000017","Doncaster","371",2022-09-12,"Primary",79,17698,32842,32929,87,1738,934,804,322,34667,16161,16402,32563,279,684,76,0,0,14,36,3,111,20,24,0,0,67,0,433,43,234,94,10,98,28393,"94.9865866674359","5.01341333256411","2.69420486341477","2.31920846914934","1.97305795136585","0.219228661262872","1.24902645166873","0.674993509677792","0.124037268872415","0.271151238930395","0","0","0.0403842270747397","0.103845155335045","0.00865376294458707","0.320189228949722","0.0288458764819569"
2022,"Week 37","Local authority","E92000001","England","E12000009","South West","E10000027","Somerset","933",2022-09-12,"Primary",93,15855,29256,29395,139,1431,1015,416,194,30826,14506,14619,29125,131,815,59,0,0,2,28,5,91,23,14,0,2,114,0,122,63,170,61,15,216,38804,"95.3578148316356","4.64218516836437","3.29267501459807","1.3495101537663","2.64387205605658","0.19139687276974","0.395769804710309","0.551482514760267","0.20437293194057","0.197884902355155","0","0","0.00648802958541491","0.0908324141958087","0.0162200739635373","0.295205346136378","0.0486602218906118"
2022,"Week 37","Local authority","E92000001","England","E12000001","North East","E06000002","Middlesbrough","806",2022-09-12,"Primary",34,9764,18188,18225,37,1132,534,598,262,19357,8862,9081,17943,245,461,27,2,0,0,2,0,41,10,22,0,0,27,0,270,17,285,26,1,41,15910,"94.151986361523","5.84801363847704","2.75869194606602","3.08932169241101","2.38156739164127","0.139484424239293","1.39484424239293","1.47233558919254","0.0878235263728884","0.134318334452653","0.010332179573281","0","0","0.010332179573281","0","0.21180968125226","0.00516608978664049"
2022,"Week 37","Local authority","E92000001","England","E12000007","London","E09000023","Lewisham","209",2022-09-12,"Primary",56,15460,28875,29013,138,1598,1121,477,443,30611,14095,14378,28473,402,678,94,2,0,0,23,2,287,76,19,51,0,11,0,113,41,263,60,35,64,23362,"94.7796543726112","5.22034562738885","3.66208225801183","1.55826336937702","2.21489007219627","0.307079154552285","0.369148345366045","0.859168272843096","0.133938780177061","0.19600797099082","0.00653359903302734","0","0","0.0751363888798144","0.00653359903302734","0.937571461239424","0.114337983077978"
2022,"Week 37","Local authority","E92000001","England","E12000005","West Midlands","E08000031","Wolverhampton","336",2022-09-12,"Primary",51,15452,28378,28439,61,1316,690,626,446,29755,13801,14148,27949,429,454,37,0,0,0,26,2,155,6,11,0,0,55,0,277,17,245,87,16,71,26653,"95.577213913628","4.42278608637204","2.31893799361452","2.10384809275752","1.52579398420434","0.124348848932952","0.930935977146698","0.823391026718199","0.0571332549151403","0.292387833977483","0","0","0","0.0873802722231558","0.00672155940178121","0.520920853638044","0.0537724752142497"
2022,"Week 37","Local authority","E92000001","England","E12000004","East Midlands","E06000015","Derby","831",2022-09-12,"Primary",64,18114,34199,34305,106,1666,994,672,314,35971,16862,17058,33920,279,764,80,0,0,0,14,2,112,5,6,0,0,101,0,352,35,272,13,22,73,24571,"95.368491284646","4.63150871535403","2.76333713269022","1.86817158266381","2.12393316838564","0.222401378888549","0.978566067109616","0.756164688221067","0.0973006032637402","0.0361402240693892","0","0","0","0.0389202413054961","0.00556003447221373","0.311361930443969","0.061160379194351"
2022,"Week 37","Local authority","E92000001","England","E12000008","South East","E06000046","Isle of Wight","921",2022-09-12,"Primary",31,6205,11448,11461,13,512,308,204,50,11973,5688,5718,11406,42,241,20,0,0,0,8,2,32,13,14,0,0,0,0,58,8,117,21,5,38,8813,"95.7237116846237","4.27628831537626","2.57245468971853","1.70383362565773","2.01286227344859","0.167042512319385","0.484423285726217","0.977198697068404","0.0668170049277541","0.175394637935355","0","0","0","0.0668170049277541","0.0167042512319385","0.267268019711016","0.0417606280798463"
2022,"Week 37","Local authority","E92000001","England","E12000002","North West","E06000008","Blackburn with Darwen","889",2022-09-12,"Primary",41,9969,18593,18636,43,878,584,294,324,19514,9870,8418,18288,305,459,31,0,0,0,21,1,72,43,14,0,0,0,0,154,19,90,31,0,55,15355,"95.5006661883776","4.49933381162242","2.99272317310649","1.50661063851594","2.35215742543815","0.158860305421749","0.789177001127396","0.461207338321205","0.0973659936455878","0.158860305421749","0","0","0","0.107615045608281","0.00512452598134673","0.368965870656964","0"
2022,"Week 37","Local authority","E92000001","England","E12000008","South East","E10000014","Hampshire","850",2022-09-12,"Primary",264,60966,114081,114535,454,4592,3637,955,610,119127,56856,56709,113565,516,2840,267,4,0,17,102,12,320,58,9,0,2,394,0,323,94,315,223,75,423,106090,"96.1452903204143","3.85470967958565","3.05304423010736","0.801665449478288","2.38401034190402","0.224130549749427","0.27113920437852","0.26442368228865","0.0789073845559781","0.187195178255139","0.00335776104493524","0","0.0142704844409748","0.0856229066458485","0.0100732831348057","0.268620883594819","0.0629580195925357"
2022,"Week 37","Local authority","E92000001","England","E12000007","London","E09000011","Greenwich","203",2022-09-12,"Primary",40,12446,23202,23272,70,1195,578,617,344,24467,11272,11601,22873,329,406,53,0,0,0,12,0,86,46,4,23,0,1,0,128,15,399,75,21,63,25494,"95.1158703559897","4.8841296440103","2.36236563534557","2.52176400866473","1.65937793763028","0.216618302202967","0.523153635509053","1.63076797318838","0.0613070666612171","0.306535333306086","0","0","0","0.0490456533289737","0","0.351493848857645","0.085829893325704"
