"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc","pa_perc"
"202425","202425","Spring term","Local authority","E92000001","England","E12000006","East of England","E10000029","Suffolk","935","Primary",250.05,"45907.5666666667","5092783","5126117","33334","281966","227018","54948","48610","5408083","2513985","2540351","5054336","38447","179545","14706","1325","13","53","0","3257","16673","85","145","11216","5560","0","5241","20935","0","1598","14766","10163","27201","2818",253,"54679","94.7862116761152","5.21378832388482","4.1977536217547","1.01603470213013","3.31993795213572","0.271926299947689","0.273035750375873","0.50296935161683","0.187922411693755","0.0521071884436685","0.0245003636223778","0.000240380926106349","0.000980014544895113","0.0602246674098752","0.00157172143992613","0.00268117186810927","0.20739326670837","0.308297783151627","15.756969141981"
"202425","202425","Spring term","Local authority","E92000001","England","E12000002","North West","E06000007","Warrington","877","Primary",68.75,"15236.0833333333","1717334","1730343","13009","79801","61027","18774","22439","1810144","840907","856789","1697696","19638","50785","4768","804","10","12","0","327","3637","10","39","635","1363","0","971","10390","2","283","7753","2801","7965","255",69,"16499","95.5914557073912","4.40854429260876","3.37138923754132","1.03715505506744","2.8055778987749","0.263404458429827","0.428308466066788","0.440020241483551","0.15473907048279","0.0140872770343133","0.0444163558258348","0.000552442236639737","0.000662930683967684","0.0180648611381194","0.000552442236639737","0.00215452472289497","0.0350800820266233","0.200923241465872","12.605423640846"
"202425","202425","Spring term","Local authority","E92000001","England","E12000007","London","E09000004","Bexley","303","Primary",58.25,"18043.55","1992716","2009792","17076","103131","77560","25571","28337","2112923","974155","992268","1966423","26293","65249","5742","1099","2","1","0","437","3360","45","35","1590","2359","0","411","14230","0","76","6232","2044","16479","816",60,"22381","95.1190365195513","4.88096348044865","3.67074427227116","1.21021920817749","3.08809170992033","0.271756235319508","0.29494685797826","0.779914838354261","0.0967380259479404","0.0386194858970251","0.0520132536774885","9.46556026887871e-05","4.73278013443935e-05","0.0206822491875","0.00212975106049771","0.00165647304705377","0.0752512041375857","0.159021412517162","15.0131262305841"
"202425","202425","Spring term","Local authority","E92000001","England","E12000009","South West","E06000030","Swindon","866","Primary",65.6,"17130.3333333333","1900316","1914303","13987","102148","79716","22432","19982","2016451","934790","948536","1883326","16990","64498","5170","1199","3","40","0","405","4637","76","30","3658","2181","0","1081","10587","0","138","3954","2992","14965","521",66,"19838","94.9342681771092","5.06573182289081","3.95328227663355","1.11244954625726","3.19858999797168","0.256391055374021","0.196087085676766","0.742145482335053","0.148379504386667","0.0258374738587746","0.0594609043314219","0.000148776241029413","0.0019836832137255","0.0200847925389707","0.00376899810607845","0.00148776241029413","0.181407829895197","0.229958476551129","15.2689782283147"
"202425","202425","Spring term","Local authority","E92000001","England","E12000005","West Midlands","E08000026","Coventry","331","Primary",83.8,"27192.4769230769","3250710","3273512","22802","193443","143794","49649","55938","3466955","1580768","1619513","3200281","50429","111867","6950","7400","2","22","0","2149","10569","64","27","4744","1767","0","1615","19336","0","84","14054","5509","28536","1550",85,"33271","94.4203775359069","5.57962246409313","4.14755888092","1.43206358317313","3.22666432070794","0.200464096015091","0.405370130272819","0.823085387609588","0.158900245316135","0.0447078199745886","0.213443785685133","5.76875096446305e-05","0.000634562606090936","0.0619852291131555","0.00184600030862818","0.000778781380202512","0.136834772877064","0.30484964471705","16.6576954821115"
"202425","202425","Spring term","Local authority","E92000001","England","E12000007","London","E09000026","Redbridge","317","Primary",51.2166666666667,"22301.3833333333","2460716","2476095","15379","164769","122185","42584","30829","2640864","1206582","1226424","2433006","27710","89458","6088","17555","0","1","0","276","7348","45","352","1062","238","0","766","14354","0","21","17481","3119","21573","411",52,"28787","93.7607919226435","6.2392080773565","4.62670550244163","1.61250257491488","3.38745198541084","0.230530614223224","0.661942455196481","0.816891744519975","0.118105286754638","0.015563088443782","0.664744568444267","0","3.78663952403456e-05","0.0104511250863354","0.00170398778581555","0.0133289711246016","0.040214111745247","0.278242272226059","21.6389744479632"
"202425","202425","Spring term","Local authority","E92000001","England","E12000009","South West","E10000008","Devon","878","Primary",306.25,"45491.0333333333","5035594","5087397","51803","272936","223306","49630","44409","5360333","2490263","2508655","4998918","36676","173068","14664","1076","8","692","0","2433","18072","211","218","12864","5794","0","7878","37403","6","722","16869","7733","23244","1784",309,"52543","94.9082267836718","5.09177321632816","4.16589790223854","0.925875314089628","3.22868000924569","0.273565093810403","0.314700597891959","0.433629776359043","0.144263425425249","0.0332815144133769","0.0200733797695031","0.000149244459252811","0.0129096457253682","0.0453889711702612","0.0039363226127929","0.00406691151463911","0.239985090478521","0.337143233452101","14.8074198119284"
"202425","202425","Spring term","Local authority","E92000001","England","E12000001","North East","E08000037","Gateshead","390","Primary",65.5384615384615,"12393.2615384615","1486441","1494112","7671","68683","52461","16222","18924","1562795","727663","741384","1469047","17394","42801","3892","1090","0","4","0","247","3186","3","4","1234","903","0","1178","5583","0","7","4610","1530","9747","335",66,"15064","95.6051177537681","4.39488224623191","3.35687022290192","1.03801202333","2.73874692458064","0.249040981062775","0.294984306962845","0.623690247281313","0.0979015161937426","0.021435952892094","0.0697468317981565","0","0.00025595167632351","0.0158050160129767","0.000191963757242633","0.00025595167632351","0.0789610921458029","0.203865510191676","12.0544907334073"
"202425","202425","Spring term","Local authority","E92000001","England","E12000007","London","E09000023","Lewisham","209","Primary",63.15,"17544.0333333333","1957111","1981084","23973","112411","77267","35144","39848","2093495","944921","977501","1922422","34689","57534","5526","1962","7","4","2","182","10419","26","607","998","1421","0","1074","21240","1","237","6022","5159","22885","1078",64,"21592","94.630462456323","5.36953754367696","3.69081368715951","1.67872385651745","2.7482272467811","0.263960506234789","0.287652944000344","1.09314806101758","0.246430012968744","0.0514928385307823","0.0937188768064887","0.000334369081368716","0.000191068046496409","0.00869359611558661","0.00124194230222666","0.0289945760558301","0.0476714776008541","0.497684494111522","17.292817679558"
"202425","202425","Spring term","Local authority","E92000001","England","E12000002","North West","E10000017","Lancashire","888","Primary",478.433333333333,"83213.5833333333","9164140","9214083","49943","515644","402194","113450","122787","9729727","4480515","4576443","9056958","107182","313706","26820","15135","14","2879","0","4410","29279","106","83","9762","5600","0","5999","37212","5","1127","39291","15605","55795","2759",480,"95516","94.700324068702","5.29967593129797","4.13366171527731","1.16601421602066","3.22420146012319","0.275650077335161","0.403824279961812","0.57344877199535","0.16038476721906","0.0283563968444336","0.155554210308265","0.000143888929257727","0.0295897305237855","0.0453250127161841","0.00108944475009422","0.000853055794885098","0.100331694815281","0.300923139981214","16.5949710048484"
