"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc","pa_perc"
"202425","202425","Summer term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000019","Sheffield","373","Primary",132.532258064516,"38560.1451612903","4193797","4285159","91362","267389","144714","122675","82038","4552548","2035444","2087065","4122509","71288","94583","13217","10922","1","10","0","3150","12000","19","570","10242","26687","0","6162","57648","1","864","52399","10750","56129","3397",131,"45399","94.1266077809614","5.87339221903866","3.17874737399803","2.69464484504062","2.077583805816","0.290320936758932","1.15098182380504","1.23291396378468","0.236131502622268","0.0746175548286366","0.239909606664224","2.19657211741644e-05","0.000219657211741644","0.069192021698618","0.000417348702309124","0.0125204610692737","0.224972916265792","0.263588654089973","21.5657932774434"
"202425","202425","Summer term","Local authority","E92000001","England","E12000007","London","E09000001","City of London","201","Primary",1,"c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c",NA,"c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"202425","202425","Summer term","Local authority","E92000001","England","E12000002","North West","E06000009","Blackpool","890","Primary",26.9193548387097,"8364.51612903226","946026","958970","12944","57061","26710","30351","17572","1016031","460181","471097","931278","14748","19170","2497","187","1","235","0","722","2633","44","185","1036","1155","0","1287","10499","3","0","10446","2824","16724","357",30,"11439","94.3839311989496","5.61606880105036","2.62885679669223","2.98721200435813","1.88675345535717","0.245760217946106","1.02811823654987","1.64601276929543","0.277944275322308","0.0351367231905326","0.0184049502426599","9.84221938110156e-05","0.0231292155455887","0.0710608239315533","0.00433057652768469","0.0182081058550379","0.101965392788212","0.259145636304404","22.127619760479"
"202425","202425","Summer term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000017","Doncaster","371","Primary",97.0645161290323,"22624.564516129","2447403","2501310","53907","144379","79504","64875","29309","2645689","1203497","1219146","2422643","24760","58769","6784","1825","0","1899","0","1089","6493","30","330","2285","15747","0","2274","34690","0","1196","34374","4549","24444","1508",98,"28202","94.5428582119818","5.45714178801817","3.0050395190062","2.45210226901197","2.22131172635937","0.256417137464003","1.29924567853591","0.923918117359977","0.171940088196307","0.0569983849197695","0.0689801409009147","0","0.0717771438744312","0.0411613005156691","0.0011339201243986","0.0124731213683846","0.0863669161416931","0.245418112257336","20.7252537520604"
"202425","202425","Summer term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000018","Rotherham","372","Primary",94.2741935483871,"19127.4677419355","2147580","2207812","60232","133222","70990","62232","29602","2341034","1053985","1067748","2121733","25847","50887","6244","3532","0","212","0","788","4751","59","37","4480","35010","0","2384","22692","6","140","33062","3755","23603","1812",96,"23640","94.3092667599018","5.69073324009818","3.03242071665768","2.6583125234405","2.17369760541709","0.266719748623899","1.41228192328689","1.0082296967921","0.160399208213123","0.0774016951483831","0.150873502905127","0","0.00905582746769163","0.0336603398327406","0.0025202538707255","0.00158049819011599","0.191368429505936","0.202944510844353","22.3271382893685"
"202425","202425","Summer term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000034","Kirklees","382","Primary",133.91935483871,"28497.5322580645","3234052","3307355","73303","193918","125589","68329","41389","3501273","1588172","1610468","3198640","35412","80157","9317","18020","0","130","0","1481","11743","94","251","4396","21473","0","6692","44649","0","489","34828","5977","26255","1269",144,"35402","94.4615001458041","5.53849985419589","3.58695251698454","1.95154733721135","2.28936732439887","0.266103214459427","0.994723918986037","0.749870118668267","0.170709339146076","0.0362439604109705","0.514669950043884","0","0.00371293526668729","0.0422989009997221","0.00268473780822004","0.00716882116875776","0.125554334095056","0.335392298743914","21.9690032895852"
"202425","202425","Summer term","Local authority","E92000001","England","E12000001","North East","E08000023","South Tyneside","393","Primary",38.9508196721311,"8553.39344262295","962111","979344","17233","57996","38792","19204","11765","1037340","473174","478518","951692","10419","28512","3206","874","0","36","0","490","4639","112","256","667","6188","0","850","10172","0","23","10728","1346","6584","546",45,"12475","94.4091618948464","5.59083810515357","3.73956465575414","1.85127344939943","2.74856845393024","0.309059710413172","1.0341835849384","0.634700291129234","0.129754950160989","0.0526346231708022","0.0842539572367787","0","0.00347041471455839","0.0472362002814892","0.0107968457786261","0.0246785046368597","0.0642990726280679","0.447201496134344","19.3444923323644"
"202425","202425","Summer term","Local authority","E92000001","England","E12000002","North West","E08000004","Oldham","353","Primary",85.0862068965517,"21463.0517241379","2121358","2142690","21332","125544","70675","54869","33697","2268234","1033816","1058599","2092415","28943","49512","6219","8219","0","59","0","446","4793","82","208","1137","8798","0","588","11188","0","758","27755","4754","21286","1074",86,"24529","94.4651213234613","5.53487867653866","3.11586018021068","2.41901849632798","2.18284356904975","0.274178060993707","1.22363918361157","0.938439332097129","0.209590368542223","0.0473496120770608","0.362352385159556","0","0.00260114256289254","0.0196628742889843","0.0036151472907998","0.00917012971324828","0.0501271032882851","0.211309767863457","20.6015106853353"
"202425","202425","Summer term","Local authority","E92000001","England","E12000006","East of England","E06000055","Bedford","822","Primary",54.551724137931,"14238.2413793103","1435061","1460877","25816","73953","50636","23317","14753","1534830","710945","711406","1422351","12710","36339","3907","3299","5","2","6","369","5034","68","645","962","5765","0","2294","17679","0","78","11404","2043","8760","1110",54,"16368","95.1816813588476","4.81831864115244","3.2991275906778","1.51919105047465","2.36762377592307","0.25455587915274","0.743013884273828","0.570747248880983","0.133109204276695","0.0723207130431383","0.21494237146785","0.000325768977671794","0.000130307591068718","0.0240417505521784","0.0044304580963364","0.0420241981196615","0.0626779513040532","0.327984206719962","16.7808219178082"
"202425","202425","Summer term","Local authority","E92000001","England","E12000002","North West","E06000006","Halton","876","Primary",48,"8179.39655172414","850959","866279","15320","53674","31042","22632","12868","919953","416355","423665","840020","10939","23651","2436","141","0","738","0","256","3512","8","5","295","5454","0","1229","8577","0","60","9925","1929","10022","756",49,"9726","94.1655715020224","5.83442849797761","3.37430281764394","2.46012568033367","2.5708922086237","0.264796136324356","1.07885946347259","1.08940348039519","0.209684625192809","0.0821781112730759","0.015326869959661","0","0.0802214895760979","0.0278275085792426","0.000869609643101332","0.000543506026938333","0.0320668555893616","0.381758633321485","20.6260219574866"
