"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","education_phase","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc"
2025,"Week 37","Local authority","E92000001","England","E12000005","West Midlands","E06000020","Telford and Wrekin","894","Primary",55,"13790.6","131224","131562","338","5236","3451","1785","1022","136798","64771","65569","130340","884","2500","296","0","0","20","0","8","452","2","2","171","37","0","7","284","0","10","481","138","958","208",56,"16001","96.1724586616763","3.82754133832366","2.52269770025878","1.30484363806488","1.82751209813009","0.216377432418603","0.351613327680229","0.70030263600345","0.100878667816781","0.152049006564423","0","0","0.0146200967850407","0.00584803871401629","0.00146200967850407","0.00146200967850407","0.125001827512098","0.33041418734192"
2025,"Week 37","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000035","Leeds","383","Primary",220.8,"59377.2","538356","541499","3143","23486","12385","11101","5661","564985","264735","268756","533491","4865","8430","1296","24","0","6","0","63","1746","21","3","796","508","0","53","2501","0","81","5520","796","4080","705",222,"70430","95.84307547988","4.15692452012","2.19209359540519","1.96483092471482","1.492075010841","0.22938662088374","0.977017088949264","0.722143065745108","0.140888696160075","0.124782073860368","0.00424790038673593","0","0.00106197509668398","0.0111507385151818","0.00371691283839394","0.000530987548341991","0.140888696160075","0.309034753135039"
2025,"Week 37","Local authority","E92000001","England","E12000001","North East","E08000021","Newcastle upon Tyne","391","Primary",72,"17902.6","168116","168506","390","7067","3937","3130","1882","175573","82397","83997","166394","1722","2859","423","2","0","0","0","13","464","1","5","170","60","0","2","308","0","20","1530","160","1264","176",72,"22750","95.974893633987","4.025106366013","2.24237211871985","1.78273424729315","1.62838249616968","0.240925427030352","0.871432395641699","0.719928462804645","0.091130185165145","0.100243203681659","0.00113912731456431","0","0","0.00740432754466803","0.000569563657282156","0.00284781828641078","0.0968258217379665","0.26427753697892"
2025,"Week 37","Local authority","E92000001","England","E12000002","North West","E06000009","Blackpool","890","Primary",30,"9075.4","85061","86319","1258","3981","1846","2135","1135","90300","41614","42471","84085","976","1266","247","4","0","24","0","21","240","0","0","44","0","0","70","1188","0","0","799","159","1070","107",30,"11439","95.5913621262459","4.40863787375415","2.04429678848283","2.36434108527132","1.40199335548173","0.273532668881506","0.884828349944629","1.18493909191584","0.176079734219269","0.118493909191584","0.0044296788482835","0","0.026578073089701","0.0232558139534884","0","0","0.0487264673311185","0.26578073089701"
2025,"Week 37","Local authority","E92000001","England","E12000008","South East","E06000060","Buckinghamshire","825","Primary",183,"38496.4","353327","353644","317","12025","8333","3692","3377","365669","173753","176600","350353","2974","5771","774","2","4","114","0","26","1188","22","10","422","132","0","40","102","0","43","1328","403","1575","386",184,"45431","96.7115068545597","3.28849314544028","2.27883687159699","1.00965627384328","1.57820323844789","0.211666835307341","0.363169970656523","0.430717397427728","0.110208959468809","0.105559946290224","0.000546942726892353","0.00109388545378471","0.0311757354328641","0.0071102554496006","0.00601636999581589","0.00273471363446177","0.115404915374287","0.324883979774058"
2025,"Week 37","Local authority","E92000001","England","E12000002","North West","E08000005","Rochdale","354","Primary",69,"18623","173125","173713","588","7333","3833","3500","1770","181046","85152","86485","171637","1488","2674","510","0","0","0","0","15","428","0","0","206","39","0","29","494","0","26","1483","282","1577","158",68,"19822","95.9496481557173","4.05035184428267","2.11714149995029","1.93321034433238","1.47697270306994","0.281696364459861","0.819128840184262","0.871049346574904","0.155761519171923","0.0872706384012903","0","0","0","0.00828518718999591","0","0","0.113783237409277","0.236404007821217"
2025,"Week 37","Local authority","E92000001","England","E12000001","North East","E06000001","Hartlepool","805","Primary",30,"6471.4","61360","61495","135","2614","1499","1115","465","64109","30262","30676","60938","422","1132","144","0","0","0","0","9","187","0","10","17","6","0","0","120","0","9","554","43","466","52",30,"8450","95.9225693740349","4.07743062596515","2.33820524419348","1.73922538177167","1.76574271943097","0.22461744840818","0.864153239014803","0.726887020543137","0.0670732658441092","0.0811118563696205","0","0","0","0.0140385905255112","0","0.0155984339172347","0.026517337659299","0.291690714252289"
2025,"Week 37","Local authority","E92000001","England","E12000009","South West","E06000059","Dorset","838","Primary",119,"16984.2","161481","162093","612","5756","3965","1791","933","167849","80059","80661","160720","761","2677","450","0","0","10","0","16","459","0","0","353","104","0","4","450","0","54","698","172","752","169",119,"21065","96.5707272608118","3.4292727391882","2.362242253454","1.0670304857342","1.59488587957033","0.268098111993518","0.415849960381057","0.448021733820279","0.102473056139745","0.100685735393121","0","0","0.00595773582207818","0.00953237731532508","0","0","0.21030807451936","0.273460074233388"
2025,"Week 37","Local authority","E92000001","England","E12000005","West Midlands","E08000029","Solihull","334","Primary",59,"16734.8","153308","153543","235","5283","3773","1510","1321","158826","75614","76585","152199","1109","2779","331","6","0","0","0","34","383","7","6","227","20","0","27","184","0","4","538","212","681","79",59,"19828","96.6737184088248","3.32628159117525","2.37555563950487","0.950725951670381","1.74971352297483","0.208404165564832","0.338735471522295","0.428771108004987","0.133479405135179","0.0497399670079206","0.00377771901325979","0","0","0.0214070744084722","0.00440733884880309","0.00377771901325979","0.142923702668329","0.241144397013084"
2025,"Week 37","Local authority","E92000001","England","E12000007","London","E09000022","Lambeth","208","Primary",56,"14148.2","125770","126527","757","6138","2972","3166","2681","132665","60509","62933","123442","2328","1911","372","0","2","0","0","8","573","13","21","72","64","0","1","674","0","18","726","353","1769","318",59,"18083","95.3733087099084","4.62669129009158","2.24022914860739","2.38646214148419","1.44047035766781","0.280405532732823","0.547243055817284","1.33343383710851","0.266083744770663","0.239701503787736","0","0.00150755662759582","0","0.0060302265103833","0.00979911807937286","0.0158293445897562","0.0542720385934497","0.431914973806204"
