"time_period","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","education_phase","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc","pa_perc","time_identifier"
"202526","Local authority","E92000001","England","E12000007","London","E09000030","Tower Hamlets","211","Primary",64.6034482758621,"17826.2126436782","5676326","5717828","41502","357814","260498","97316","118285","6075642","2737767","2822474","5560241","116085","213641","16092","3081","1","1","0","917","21217","76","1822","3650","4581","0","1270","34882","0","769","40265","2200","50620","4231",66,"22973","94.1106799906907","5.8893200093093","4.28757981461054","1.60174019469877","3.51635267515762","0.26486089865071","0.662728317435425","0.833162980965633","0.0362101651150611","0.069638731182647","0.0507106903270469","1.64591659613914e-05","1.64591659613914e-05","0.0150930551865959","0.00125089661306575","0.0299886003816551","0.0600759557590786","0.349214124202841","17.5356679636835","Academic year"
"202526","Local authority","E92000001","England","E12000005","West Midlands","E08000030","Walsall","335","Primary",84.2816091954023,"22924.4712643678","7097770","7147090","49320","428255","255441","172814","126445","7575345","3445047","3539662","6984709","113061","192445","17116","8156","4","642","0","2571","21801","127","266","12313","6283","0","2045","40725","2","265","44891","13384","112550","1989",85,"22336","94.3467261227046","5.65327387729536","3.37200483938355","2.2812690379118","2.54041235085663","0.225943504883276","0.59259347264052","1.48574091345015","0.176678421906857","0.0262562299142811","0.107665063439355","5.28028756446076e-05","0.00847486154095952","0.0339390483205715","0.00167649130171629","0.00351139123036641","0.162540451953013","0.287788872982023","15.7890811455847","Academic year"
"202526","Local authority","E92000001","England","E12000007","London","E09000004","Bexley","303","Primary",58.1091954022989,"17451.0632183908","5533973","5593575","59602","291665","204197","87468","78356","5885240","2707970","2753708","5461678","72295","164173","17679","2461","14","55","0","841","14037","118","316","4503","8046","0","1446","49694","2","414","26744","6061","52571","2092",60,"21793","95.0441273423004","4.9558726576996","3.46964609769525","1.48622656000435","2.78957187812222","0.300395565856278","0.454424968225595","0.893268583779081","0.102986454248255","0.0355465537514188","0.0418164764733469","0.00023788324690242","0.000934541327116651","0.0142899864746382","0.00200501593817754","0.00536936471579749","0.0765134472001142","0.238511938340662","12.5292864749734","Academic year"
"202526","Local authority","E92000001","England","E12000008","South East","E06000036","Bracknell Forest","867","Primary",28.7068965517241,"8801.31609195402","2600880","2626832","25952","129283","101407","27876","23785","2756115","1287484","1292225","2579709","21171","72323","6742","762","1","58","0","2114","14864","123","680","3740","2642","0","3264","19128","0","918","12581","2614","11760","921",29,"9199","95.309230565488","4.69076943451199","3.67934574573267","1.01142368877931","2.624092245788","0.244619691123193","0.456475872741159","0.426687565649474","0.0948436476707249","0.0334166027179563","0.0276476126721853","3.62829562627104e-05","0.0021044114632372","0.0767021695393697","0.00446280362031338","0.0246724102586431","0.135698256422537","0.539309861888927","11.8550155835161","Academic year"
"202526","Local authority","E92000001","England","E12000005","West Midlands","E10000031","Warwickshire","937","Primary",194.385057471264,"39882.0114942529","12680299","12801971","121672","713596","538824","174772","146836","13515567","6238527","6315060","12553587","126712","401332","33381","3921","29","2573","0","6793","62929","350","559","26957","13570","0","7765","96718","3","3616","55564","20124","93488","5596",195,"44961","94.7201919090779","5.27980809092212","3.98669179028893","1.29311630063319","2.96940557506762","0.246981869129131","0.411111128375154","0.691706089726017","0.148894974217508","0.0414041083145087","0.0290109915477464","0.000214567394767826","0.0190373071288833","0.0502605625054428","0.00258960648857721","0.00413597150604189","0.199451491750217","0.465603847770501","13.0467064201026","Academic year"
"202526","Local authority","E92000001","England","E12000009","South West","E06000052","Cornwall","908","Primary",231.491329479769,"32360.7919075144","10250121","10381184","131063","598760","449047","149713","114880","10979944","5052365","5101811","10154176","95945","333853","35034","851","7","375","21","7380","43507","101","298","27620","15016","0","18494","95767","3","1783","57083","18935","66288","7407",235,"39842","94.5467845737647","5.45321542623532","4.08970209684129","1.36351332939403","3.04057106302182","0.319072665580079","0.519884254418784","0.603718926071026","0.172450788455752","0.0674593604484686","0.00775049490234194","6.37526020169137e-05","0.00341531796519181","0.0672134575549748","0.000919858971958327","0.00271403934300576","0.251549552529594","0.396240636564267","13.6126258691826","Academic year"
"202526","Local authority","E92000001","England","E12000008","South East","E10000014","Hampshire","850","Primary",413.64367816092,"85398.7931034483","27776988","28106977","329989","1427584","1118696","308888","251318","29534561","13757367","13811942","27569309","207679","800197","74934","5448","29","4860","0","7042","140656","1517","1622","82391","49647","0","25855","248952","10","5525","127814","43639","125798","11637",423,"99624","95.1663950583183","4.83360494168171","3.78775225404569","1.04585268763602","2.70935802973337","0.253716315607332","0.432760791670477","0.425934890313758","0.147755708981082","0.0394012966707039","0.0184461858092287","9.81900492781999e-05","0.016455297913519","0.0238432526557615","0.00513635533638032","0.00549187103204276","0.278964701726902","0.476242054181879","11.403652399821","Academic year"
"202526","Local authority","E92000001","England","E12000008","South East","E06000039","Slough","871","Primary",27.6206896551724,"13723.1206896552","4271949","4302447","30498","261542","200823","60719","48597","4563989","2099270","2128227","4227497","44452","150750","9253","9967","1","19","0","561","25668","28","1760","2816","2422","0","2213","25850","0","13","26752","4145","27539","2283",28,"16718","94.2694428054055","5.73055719459447","4.40016397936104","1.33039321523343","3.30303162430935","0.202739314227094","0.586153910537471","0.603397598022256","0.0908196755075439","0.0500220311661575","0.218383523711385","2.19106575410239e-05","0.000416302493279454","0.0122918788805144","0.000613498411148668","0.038562757272202","0.0617004116355232","0.562402757763001","16.7515793764011","Academic year"
"202526","Local authority","E92000001","England","E12000001","North East","E06000005","Darlington","841","Primary",28.1516853932584,"6693.1797752809","2182405","2204871","22466","133241","97330","35911","21415","2338112","1077254","1087603","2164857","17548","72186","6800","414","0","7812","0","1340","7251","16","6","1505","9112","0","2809","10273","0","272","14062","3867","17229","753",29,"8589","94.3013422795828","5.69865772041716","4.16276038102537","1.53589733939178","3.08736279528098","0.290832945556073","0.601425423589631","0.73687659102729","0.165389853009608","0.0322054717652533","0.0177065940382668","0","0.334115730982947","0.0573111980948731","0.000684312813073112","0.000256617304902417","0.0643681739796896","0.310122012974571","15.8256237734791","Academic year"
"202526","Local authority","E92000001","England","E12000002","North West","E08000007","Stockport","356","Primary",85.0804597701149,"20768.2988505747","6395841","6433008","37167","325015","239983","85032","92998","6758023","3120885","3195134","6316019","79822","189316","18866","4940","46","94","0","1253","19015","433","165","5855","3971","0","2016","31095","2","83","29112","13176","40026","2718",86,"22534","95.1906792859391","4.8093207140609","3.5510829128578","1.2582378012031","2.80135181546437","0.279164483459142","0.430776870691325","0.59227380551975","0.194968262167797","0.0402188628242313","0.0730983010859833","0.000680672439262193","0.00139093933240535","0.0185409253564245","0.0064071992652289","0.0024415424451796","0.0866377637365247","0.281369270273274","12.0115197164377","Academic year"
"202526","Local authority","E92000001","England","E12000002","North West","E08000014","Sefton","343","Primary",73.4655172413793,"17849.1781609195","5587259","5632383","45124","314233","216136","98097","85706","5946616","2723227","2787949","5511176","76083","177185","19102","861","0","115","18","1268","12993","277","41","4276","9788","0","4507","30557","0","272","41533","9623","41074","5867",74,"21738","94.7157677576625","5.28423224233749","3.63460495851758","1.64962728381991","2.97959377232362","0.321224709986318","0.698430838648401","0.690712163018429","0.161823127640998","0.0986611545120788","0.0144788229137378","0","0.00193387297918682","0.0213230516313816","0.0046581114368239","0.00068946775779704","0.0719064422521986","0.218494014074559","13.46591856008","Academic year"
"202526","Local authority","E92000001","England","E12000007","London","E09000003","Barnet","302","Primary",88.0402298850575,"22710.8505747126","7387324","7463006","75682","367772","282790","84982","118985","7830778","3608618","3673025","7281643","105681","187253","27364","13104","7","64","0","970","39991","591","3909","9537","6514","0","8455","59885","2","826","15193","13304","53022","3463",91,"28995","95.3035062416531","4.69649375834687","3.61126314652261","1.08523061182427","2.39124388406873","0.349441651902276","0.194016482142643","0.677097473584362","0.169893719372456","0.0442229367248056","0.16733969472765","8.93908625681893e-05","0.00081728788633773","0.0123870195273062","0.00754714282539998","0.0499184116827217","0.121788665187546","0.510689997852065","10.6800048600705","Academic year"
"202526","Local authority","E92000001","England","E12000002","North West","E08000015","Wirral","344","Primary",89.1666666666667,"20381.0977011494","6491051","6542755","51704","383403","268168","115235","94205","6926158","3169412","3239877","6409289","81762","213247","19471","1300","22","0","0","1823","22538","652","234","8881","14103","0","2154","35341","0","106","43713","12443","55709","3370",90,"23065","94.4644202456831","5.5355797543169","3.87181464817869","1.66376510613821","3.07886421303124","0.281122665697202","0.631129119491643","0.80432759402832","0.179652268977982","0.0486561236402635","0.0187694245496565","0.000317636415455726","0","0.0263205084261722","0.00941358831259697","0.00337849641893818","0.128224045711923","0.325404069615507","14.0856634584683","Academic year"
"202526","Local authority","E92000001","England","E12000006","East of England","E06000033","Southend-on-Sea","882","Primary",32.6206896551724,"12586.1034482759","4013232","4053617","40385","229762","162658","67104","55065","4283379","1964493","1999172","3963665","49567","127275","10363","2140","2","0","0","841","16763","152","247","4875","4055","0","9616","26404","1","309","22722","5498","37744","1140",33,"14620","94.6359638033431","5.36403619665689","3.79742254888022","1.56661364777667","2.97136909902206","0.24193516380409","0.530469052586755","0.881173484765182","0.128356608182465","0.0266145022422718","0.0499605568407559","4.66921091969681e-05","0","0.0196340319173251","0.00354860029896958","0.00576647548582556","0.11381201616761","0.391349913234388","14.8095609617703","Academic year"
"202526","Local authority","E92000001","England","E12000008","South East","E06000060","Buckinghamshire","825","Primary",182.35632183908,"39144.091954023","11688943","11801886","112943","640230","501148","139082","153688","12442116","5735511","5819539","11555050","133893","376508","33892","11531","1","2819","0","2946","52905","641","217","19688","4851","0","6895","98904","0","2293","58875","19795","57207","3205",182,"43883","94.8543318515918","5.1456681484082","4.02783577970178","1.11783236870642","3.02607691489133","0.272397396069929","0.473191216027885","0.459785136226025","0.159096732420755","0.0257592840317515","0.092677161987559","8.03721810663074e-06","0.022656917842592","0.0236776445421342","0.0051518568063503","0.00174407632913887","0.158236750083346","0.425209023931299","12.7553221181904","Academic year"
"202526","Local authority","E92000001","England","E12000001","North East","E08000024","Sunderland","394","Primary",80.7167630057804,"17955.063583815","5518230","5563900","45670","314189","211307","102882","59728","5878089","2710176","2753838","5464014","54216","172908","16684","1364","0","1926","0","1937","13091","185","14","3198","4120","0","1394","38965","2","1189","43071","5512","49072","5227",81,"22551","94.6549125064285","5.34508749357147","3.59482478063874","1.75026271293272","2.9415682545807","0.283833742564973","0.732738139895466","0.834829142600597","0.0937719724896986","0.088923457946962","0.02320482047822","0","0.032765750909862","0.0329528865588799","0.00314728136984656","0.000238172644204605","0.0544054368690233","0.222708434663034","14.0605926090334","Academic year"
"202526","Local authority","E92000001","England","E12000007","London","E09000029","Sutton","319","Primary",40.4540229885057,"15110.2126436782","4827167","4881255","54088","255722","187879","67843","68230","5136977","2361297","2404594","4765891","61276","144980","13116","3744","56","414","0","1335","16601","353","1939","5341","5107","0","3749","44870","2","360","18837","6954","39585","2467",41,"17037","95.0219360530522","4.97806394694779","3.65738448897085","1.32067945797694","2.82228244354608","0.255325262308942","0.366694263961081","0.770589395280532","0.135371445112563","0.048024353622763","0.0728833319674198","0.001090135307205","0.00805921459255122","0.0259880470556905","0.00687174577577435","0.037745935011973","0.103971654924677","0.323166718480538","11.9801859099804","Academic year"
"202526","Local authority","E92000001","England","E12000005","West Midlands","E08000031","Wolverhampton","336","Primary",70.1618497109827,"21459.161849711","6409875","6460233","50358","379134","239364","139770","118339","6839367","3104078","3194127","6298205","111670","177665","11956","4793","15","40","0","3142","28575","152","82","12944","6937","0","1514","40521","1","1385","41283","6669","88093","3725",72,"24007","94.4565922548096","5.54340774519045","3.49979756898555","2.0436101762049","2.59768191997885","0.174811499368289","0.603608491838499","1.28802855585904","0.0975090238614188","0.0544641046459417","0.0700795848504693","0.000219318542198423","0.000584849445862461","0.0459399239724963","0.00222242789427735","0.00119894136401804","0.189257280681092","0.417801822887995","15.9837929466242","Academic year"
"202526","Local authority","E92000001","England","E12000007","London","E09000026","Redbridge","317","Primary",51.316091954023,"21835.6034482759","6998190","7045662","47472","421964","300837","121127","98163","7467626","3431759","3477844","6909603","88587","219383","18305","23323","32","40","0","851","33380","346","3148","2029","2494","0","2292","41634","1","1051","40943","9576","65376","5232",52,"27451","94.3494224268864","5.6505775731136","4.02854936763036","1.62202820548324","2.93778772530922","0.245124755846102","0.548273306670688","0.875458947729841","0.128233524282014","0.0700624268006994","0.312321479409922","0.000428516371869721","0.000535645464837152","0.0113958572644104","0.00463333327084136","0.0421552980826838","0.0271706162038645","0.446996140406603","16.5790132732281","Academic year"
