time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,attendance_date,day_number,school_type,num_schools,enrolments,present_sessions,approved_educational_activity,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,enrolments_pa_10_exact
2021,Week 1,National,E92000001,England,,,,,,01/01/2021,1,Special,21223,7124905,879134911,0,66299987,50978842,15321145,0,961005533,439567455.5,439567455.5,879134911,0,42031357,2477158,87713,77771,74702,356656,780771,4392322,0,0,0,0,0,0,2413454,852499,11278743,625241,15570635,1672179
2021,Week 1,National,E92000001,England,,,,,,01/01/2021,1,Primary,20165,7003676,865307161,0,64211691,49303837,14907854,0,944644699,432653580.5,432653580.5,865307161,0,41048878,2328869,86891,77486,73699,323238,760003,3925154,0,0,0,0,0,0,2386586,832399,10934152,610089,15125847,1624473
2021,Week 1,National,E92000001,England,,,,,,01/01/2021,1,PRU/Academy/Free school AP,16762,3847758,487320944,0,30023843,23932031,6091812,0,525567244,243660472,243660472,487320944,0,20033234,1016659,54177,731,53268,257305,77962,1836113,0,0,0,0,0,0,1716649,493059,3544485,200444,8222457,750194
2021,Week 1,National,E92000001,England,,,,,,01/01/2021,1,Secondary,3403,3155918,377986217,0,34187848,25371806,8816042,0,419077455,188993108.5,188993108.5,377986217,0,21015644,1312210,32714,76755,20431,65933,682041,2089041,0,0,0,0,0,0,669937,339340,7389667,409645,6903390,874279
2021,Week 1,National,E92000001,England,,,,,,01/01/2021,1,Special,1058,121229,13827750,0,2088296,1675005,413291,0,16360834,6913875,6913875,13827750,0,982479,148289,822,285,1003,33418,20768,467168,0,0,0,0,0,0,26868,20100,344591,15152,444788,47706
2021,Week 1,Regional,E92000001,England,E12000001,North East,,,,01/01/2021,1,Special,1098,329943,40419148,0,3253231,2416853,836378,0,44253008,20209574,20209574,40419148,0,2030586,108573,947,85,3326,23429,58679,188587,0,0,0,0,0,0,138545,24776,644953,27511,580629,84443
2021,Week 1,Regional,E92000001,England,E12000001,North East,,,,01/01/2021,1,Primary,1034,322144,39522391,0,3125904,2322403,803501,0,43208747,19761195.5,19761195.5,39522391,0,1970033,100399,932,85,3326,20605,57538,166844,0,0,0,0,0,0,136345,24187,615113,27263,560452,81464
2021,Week 1,Regional,E92000001,England,E12000001,North East,,,,01/01/2021,1,PRU/Academy/Free school AP,861,173070,21897409,0,1366900,1084597,282303,0,23570358,10948704.5,10948704.5,21897409,0,955302,44708,568,39,2575,16291,2745,59728,0,0,0,0,0,0,97987,16636,155595,11492,306049,35547
2021,Week 1,Regional,E92000001,England,E12000001,North East,,,,01/01/2021,1,Secondary,173,149074,17624982,0,1759004,1237806,521198,0,19638389,8812491,8812491,17624982,0,1014731,55691,364,46,751,4314,54793,107116,0,0,0,0,0,0,38358,7551,459518,15771,254403,45917
2021,Week 1,Regional,E92000001,England,E12000001,North East,,,,01/01/2021,1,Special,64,7799,896757,0,127327,94450,32877,0,1044261,448378.5,448378.5,896757,0,60553,8174,15,0,0,2824,1141,21743,0,0,0,0,0,0,2200,589,29840,248,20177,2979
2021,Week 1,Regional,E92000001,England,E12000002,North West,,,,01/01/2021,1,Special,3076,976368,122771499,0,9271727,6973541,2298186,0,134021404,61385749.5,61385749.5,122771499,0,5850569,345679,6821,2017,9299,55796,112442,556243,0,0,0,0,0,0,397835,144162,1644008,103484,1978178,228013
2021,Week 1,Regional,E92000001,England,E12000002,North West,,,,01/01/2021,1,Primary,2907,958148,120637462,0,8949825,6725001,2224824,0,131509263,60318731,60318731,120637462,0,5707037,326709,6681,2017,9226,50963,109542,491545,0,0,0,0,0,0,393221,140948,1585422,100976,1921976,220981
2021,Week 1,Regional,E92000001,England,E12000002,North West,,,,01/01/2021,1,PRU/Academy/Free school AP,2447,532574,68933184,0,4131348,3231233,900115,0,74116750,34466592,34466592,68933184,0,2788124,149557,3632,40,7932,40989,10152,222628,0,0,0,0,0,0,281783,80238,499788,35744,1052218,98558
