time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,attendance_date,day_number,education_phase,week_commencing,num_schools,enrolments,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_mobile_child,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_c1_authorised_regulated_performance,reason_j1_authorised_interview,reason_c2_authorised_temp_reduced_timetable,reason_b_aea_education_off_site,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_k_aea_education_arranged_by_la,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_d_dual_registration,reason_q_la_arrangements,reason_y_not_attending_enforced_closure,reason_y1_transport_not_provided,reason_y2_travel_disruption,reason_y3_premises_out_of_use,reason_y4_closed_session_cancelled,reason_y5_detention_sentence,reason_y6_prohibited_infection_disease,reason_y7_unavoidable_cause,reason_not_attending_planned_closed,reason_z_not_attending_not_on_roll,reason_f_legacy_family_holiday,academic_year,total_num_schools,total_enrolments,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_mob_perc,auth_excluded_perc,auth_performance_perc,auth_interview_perc,auth_part_time_perc,auth_other_perc,breakdown,pa_flag,ytd_enrolments,pa_perc
2025,37,Local authority,E92000001,England,E12000005,West Midlands,E06000020,Telford and Wrekin,894,08/09/2025,1,Primary,08/09/2025,52,12740,24366,8,24374,844,467,377,148,25218,12080,12152,24232,134,321,46,0,0,4,0,1,68,0,0,27,6,0,0,0,0,2,116,14,189,58,12,0,0,0,0,0,0,0,0,0,0,25,0,202526,55,17379,96.65318423,3.346815767,1.851851852,1.494963915,1.272900309,0.18240939,0.459988897,0.749464668,0.055515901,0.229994448,0,0,0.015861686,0.003965422,0,0,0.107066381,0.269648664,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000009,South West,E06000066,Somerset,933,08/09/2025,1,Secondary,08/09/2025,35,29243,53541,182,53723,3233,1849,1384,806,56956,26299,26506,52805,736,1087,203,1,0,2,0,81,298,0,3,174,78,0,8,56,23,17,168,70,1088,58,109,2,0,3,0,396,0,0,0,7,746,10,0,202526,36,30796,94.32368846,5.676311539,3.246365616,2.429945923,1.908490765,0.356415479,0.294964534,1.910246506,0.122901889,0.101832994,0.001755741,0,0.003511483,0.142215043,0,0.005267224,0.305498982,0.5232109,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,08/09/2025,1,Primary,08/09/2025,218,58317,105711,544,106255,4655,2305,2350,1157,110910,52063,52637,104700,1011,1543,225,2,0,2,0,10,371,2,3,147,104,0,10,416,0,14,1174,146,819,211,60,0,0,0,0,14,0,0,8,20,2,3578,0,202526,222,71138,95.80290325,4.197096745,2.078261654,2.118835092,1.391218105,0.20286719,1.058515914,0.73843657,0.131638265,0.190244342,0.001803264,0,0.001803264,0.00901632,0.001803264,0.002704896,0.132539897,0.334505455,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,08/09/2025,1,Secondary,08/09/2025,37,34630,64695,125,64820,2856,1691,1165,1418,67676,31158,32163,63321,1374,1149,175,2,0,0,0,9,271,4,2,79,67,0,47,1,4,6,233,44,739,149,146,0,0,2,8,0,0,0,0,36,870,129,0,202526,37,42732,95.77989243,4.220107571,2.498670134,1.721437437,1.697795378,0.258585023,0.344287487,1.09196761,0.065015663,0.220166677,0.002955257,0,0,0.013298658,0.005910515,0.002955257,0.116732667,0.400437378,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,08/09/2025,1,Primary,08/09/2025,182,38380,69644,25,69669,2566,1534,1032,627,72235,34319,34776,69095,549,1042,142,0,0,20,0,0,242,6,2,80,15,0,2,1,0,7,417,78,395,142,40,8,0,2,0,0,1,0,0,12,9,2711,0,202526,183,45431,96.44770541,3.552294594,2.123624282,1.428670312,1.442514017,0.196580605,0.577282481,0.546826331,0.107980896,0.196580605,0,0,0.027687409,0,0.008306223,0.002768741,0.110749637,0.335017651,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000007,London,E09000015,Harrow,310,08/09/2025,1,Secondary,08/09/2025,13,13600,25534,11,25545,1531,752,779,825,27076,12019,12733,24752,782,482,83,0,0,0,0,20,135,2,13,17,11,0,0,0,0,0,172,43,446,118,68,0,0,0,35,0,0,0,0,2,0,6,0,202526,13,16592,94.34554587,5.654454129,2.77736741,2.877086719,1.780174324,0.306544541,0.635248929,1.647215246,0.158812232,0.435810312,0,0,0,0.073866155,0.007386615,0.048013,0.062786231,0.498596543,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,890,08/09/2025,1,Primary,08/09/2025,30,8987,16979,158,17137,788,301,487,188,17925,8347,8474,16821,158,189,34,4,0,0,0,2,64,0,0,8,0,0,0,158,0,0,180,30,234,43,17,0,0,0,0,0,0,0,0,0,0,4,0,202526,30,11439,95.60390516,4.39609484,1.679218968,2.716875872,1.054393305,0.189679219,1.0041841,1.305439331,0.167364017,0.239888424,0.022315202,0,0,0.011157601,0,0,0.044630404,0.357043236,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,08/09/2025,1,Primary,08/09/2025,72,17828,33617,16,33633,1465,698,767,360,35098,16488,16799,33287,330,501,61,0,0,0,0,0,105,0,2,29,14,0,0,0,0,2,390,30,282,65,30,0,0,0,0,0,0,0,0,20,0,195,0,202526,72,22750,95.82597299,4.17402701,1.988717306,2.185309704,1.427431762,0.173799077,1.111174426,0.803464585,0.085474956,0.185195738,0,0,0,0,0,0.00569833,0.082625791,0.299162345,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,354,08/09/2025,1,Secondary,08/09/2025,13,14518,27180,78,27258,1666,710,956,752,28924,13079,13443,26522,658,417,86,0,0,0,0,30,132,0,4,34,65,0,4,7,0,2,259,94,541,62,76,0,0,2,0,0,0,0,0,30,0,18,7,202526,14,14528,94.24007744,5.759922556,2.454708892,3.305213663,1.441709307,0.297330936,0.895450145,1.870419029,0.324989628,0.214354861,0,0,0,0.103720094,0,0.013829346,0.11754944,0.456368414,Daily,NA,NA,NA
2025,37,Local authority,E92000001,England,E12000008,South East,E10000011,East Sussex,845,08/09/2025,1,Special,08/09/2025,15,1618,2861,12,2873,316,191,125,20,3189,1414,1432,2846,15,63,35,0,0,0,0,0,39,0,0,54,8,0,0,0,2,2,16,5,100,4,2,4,0,18,0,0,0,0,0,8,0,6,0,202526,15,1660,90.0909376,9.909062402,5.989338351,3.919724051,1.975540922,1.097522734,0.501724679,3.135779241,0.156788962,0.12543117,0,0,0,0,0,0,1.69332079,1.222953904,Daily,NA,NA,NA
