time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,phase,total_num_schools,total_enrolments
2024,January,Local authority,E92000001,England,E12000008,South East,E10000030,936,Surrey,Special,30,3322
2024,January,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,Primary,86,24640
2024,January,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,Independent school,3,147
2024,January,Local authority,E92000001,England,E12000007,London,E09000016,311,Havering,PRU/Academy/Free school AP,1,11
2024,January,Local authority,E92000001,England,E12000008,South East,E06000041,872,Wokingham,Secondary,10,13012
2024,January,Local authority,E92000001,England,E12000006,East of England,E06000034,883,Thurrock,Special,3,498
2024,January,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Secondary,31,27459
2024,January,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,Secondary,20,18309
2024,January,Local authority,E92000001,England,E12000009,South West,E10000008,878,Devon,Independent school,42,7192
2024,January,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,PRU/Academy/Free school AP,1,56
2024,January,Local authority,E92000001,England,E12000006,East of England,E10000015,919,Hertfordshire,PRU/Academy/Free school AP,8,90
2024,January,Local authority,E92000001,England,E12000007,London,E09000026,317,Redbridge,Primary,52,28901
2024,January,Local authority,E92000001,England,E12000007,London,E09000004,303,Bexley,Secondary,16,19132
2024,January,Local authority,E92000001,England,E12000009,South West,E06000054,865,Wiltshire,Secondary,29,31364
2024,January,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Special,4,475
2024,January,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,383,Leeds,Secondary,47,55161
2024,January,Local authority,E92000001,England,E12000007,London,E09000004,303,Bexley,Special,7,736
2024,January,Local authority,E92000001,England,E12000007,London,E09000031,320,Waltham Forest,Secondary,18,16768
2024,January,Local authority,E92000001,England,E12000005,West Midlands,E10000031,937,Warwickshire,Secondary,39,37578
2024,January,Local authority,E92000001,England,E12000005,West Midlands,E08000031,336,Wolverhampton,Secondary,20,20571
2024,January,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Secondary,5,5832
2024,January,Local authority,E92000001,England,E12000004,East Midlands,E10000007,830,Derbyshire,Independent school,28,4071
2024,January,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,810,"Kingston upon Hull, City of",Primary,71,25432
2024,January,Local authority,E92000001,England,E12000008,South East,E06000044,851,Portsmouth,Special,5,667
2024,January,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,Secondary,22,22610
2024,January,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Independent school,2,16
2024,January,Local authority,E92000001,England,E12000007,London,E09000033,213,Westminster,Independent school,33,9639
2024,January,Local authority,E92000001,England,E12000007,London,E09000008,306,Croydon,Secondary,25,24324
2024,January,Local authority,E92000001,England,E12000007,London,E09000005,304,Brent,Special,5,836
2024,January,Local authority,E92000001,England,E12000006,East of England,E06000055,822,Bedford,Independent school,10,4553
2024,January,Local authority,E92000001,England,E12000004,East Midlands,E06000062,941,West Northamptonshire,Primary,147,35013
2024,January,Local authority,E92000001,England,E12000004,East Midlands,E06000016,856,Leicester,Secondary,23,20914
2024,January,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,Primary,67,29378
2024,January,Local authority,E92000001,England,E12000008,South East,E06000035,887,Medway,Independent school,9,1789
2024,January,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,Independent school,13,1530
