time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,attendance_date,day_number,school_type,num_schools,enrolments,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_not_attending_planned_closed,reason_y_not_attending_enforced_closure,reason_x_not_attending_covid_non_compulsory,reason_z_not_attending_not_on_roll,reason_f_legacy_family_holiday
2022,Week 37,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,14/09/2022,3,Primary,67,20564,37516,748,38264,1893,1107,786,400,40157,18570,18584,37154,362,846,72,0,0,0,15,9,143,81,7,0,30,637,0,294,38,367,87,0,2,22,237,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,14/09/2022,3,Primary,54,14947,27596,601,28197,1487,1012,475,462,29684,13394,13784,27178,418,640,68,0,6,0,18,5,247,214,16,110,0,277,0,94,44,214,123,0,14,28,17,0
2022,Week 37,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,16/09/2022,5,Primary,54,9972,18432,208,18640,1166,826,340,105,19806,9170,9184,18354,78,702,58,0,0,0,14,2,49,16,8,0,0,192,0,125,27,155,33,0,0,1,4,0
2022,Week 37,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,14/09/2022,3,Primary,53,12990,24381,99,24480,1013,615,398,211,25493,12028,12149,24177,204,459,45,0,0,0,4,0,100,8,14,0,0,91,0,166,7,195,30,0,8,7,88,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000025,Newham,316,12/09/2022,1,Primary,49,19262,34933,192,35125,2419,848,1571,398,37544,17149,17415,34564,369,668,65,0,0,0,4,0,100,32,12,2,0,158,0,496,29,881,165,0,1,11,94,0
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,890,16/09/2022,5,Secondary,6,5447,9648,83,9731,929,489,440,293,10660,4603,4765,9368,280,362,27,0,0,0,0,27,73,77,161,0,0,0,6,56,13,349,22,0,0,0,34,0
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E06000042,Milton Keynes,826,12/09/2022,1,Primary,61,15441,28283,87,28370,1247,831,416,225,29617,13969,14114,28083,200,649,59,0,0,0,4,2,106,8,31,0,0,79,0,154,25,152,85,0,2,11,42,0
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E08000004,Oldham,353,12/09/2022,1,Special,4,583,1009,4,1013,146,110,36,9,1159,494,507,1001,8,61,6,0,0,0,14,0,29,4,0,0,0,0,0,0,1,25,10,0,2,0,0,0
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E06000042,Milton Keynes,826,14/09/2022,3,Secondary,8,10429,19069,16,19085,1517,808,709,541,20602,9191,9347,18538,531,598,72,0,0,0,6,20,112,14,170,0,2,0,0,50,10,498,151,0,0,0,27,0
2022,Week 37,Local authority,E92000001,England,E12000009,South West,E10000008,Devon,878,14/09/2022,3,Special,5,643,1089,17,1106,97,80,17,5,1203,576,508,1084,5,46,7,0,0,0,3,0,24,17,0,0,0,0,0,0,0,17,0,0,77,0,4,0
