geographic_level,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,autumn_enrolments,pa_flag
Local authority,E12000001,North East,E06000057,Northumberland,929,Primary,117,15807,2845
Local authority,E12000002,North West,E08000005,Rochdale,354,Primary,65,17763,3322
Local authority,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,Secondary,39,30107,7630
Local authority,E12000009,South West,E06000030,Swindon,866,Primary,64,17139,2393
Local authority,E12000006,East of England,E10000012,Essex,881,Secondary,55,56871,13944
Local authority,E12000009,South West,E10000008,Devon,878,Secondary,38,35639,10183
Local authority,E12000007,London,E09000031,Waltham Forest,320,Primary,41,14454,2233
Local authority,E12000005,West Midlands,E08000025,Birmingham,330,Primary,266,85127,15309
Local authority,E12000008,South East,E10000032,West Sussex,938,Primary,215,52900,7966
Local authority,E12000001,North East,E08000022,North Tyneside,392,Primary,45,10353,1841
Local authority,E12000005,West Midlands,E10000031,Warwickshire,937,Primary,182,37792,5680
Local authority,E12000008,South East,E06000043,Brighton and Hove,846,Primary,28,8843,1485
Local authority,E12000007,London,E09000029,Sutton,319,Primary,40,15338,2273
Local authority,E12000008,South East,E10000014,Hampshire,850,Primary,375,80943,10658
Local authority,E12000009,South West,E06000025,South Gloucestershire,803,Primary,83,18229,2689
Local authority,E12000009,South West,E06000052,Cornwall,908,Secondary,30,28455,8278
Local authority,E12000007,London,E09000010,Enfield,308,Primary,61,22247,3324
Local authority,E12000001,North East,E06000001,Hartlepool,805,Primary,30,6691,1284
Local authority,E12000002,North West,E08000007,Stockport,356,Primary,76,19711,3143
Local authority,E12000004,East Midlands,E06000018,Nottingham,892,Special,6,625,280
Local authority,E12000009,South West,E06000054,Wiltshire,865,Primary,173,27369,3724
Local authority,E12000007,London,E09000007,Camden,202,PRU/Academy/Free school AP,3,92,65
Local authority,E12000007,London,E09000013,Hammersmith and Fulham,205,Primary,34,7464,1192
Local authority,E12000002,North West,E06000007,Warrington,877,Secondary,12,11809,2697
Local authority,E12000006,East of England,E06000031,Peterborough,874,Secondary,14,15040,3537
Local authority,E12000002,North West,E08000009,Trafford,358,Special,8,811,249
Local authority,E12000002,North West,E06000009,Blackpool,890,Secondary,7,6490,2151
Local authority,E12000009,South West,E10000013,Gloucestershire,916,Primary,227,38254,5904
Local authority,E12000002,North West,E10000017,Lancashire,888,Special,23,2561,797
Local authority,E12000002,North West,E10000017,Lancashire,888,PRU/Academy/Free school AP,9,976,826
Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,Primary,68,11887,2007
Local authority,E12000002,North West,E08000004,Oldham,353,Primary,88,21324,3849
Local authority,E12000007,London,E09000030,Tower Hamlets,211,Primary,64,18664,3352
Local authority,E12000002,North West,E08000013,St. Helens,342,Primary,53,12451,2135
Local authority,E12000009,South West,E10000013,Gloucestershire,916,Special,10,1269,416
Local authority,E12000002,North West,E08000010,Wigan,359,Primary,91,20714,3468
Local authority,E12000006,East of England,E06000032,Luton,821,Secondary,11,12411,2669
Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Primary,70,15529,2770
Local authority,E12000001,North East,E06000002,Middlesbrough,806,Secondary,8,8918,2785
Local authority,E12000002,North West,E06000008,Blackburn with Darwen,889,Primary,54,12814,2147
Local authority,E12000008,South East,E06000046,Isle of Wight,921,Primary,38,7531,1394
Local authority,E12000003,Yorkshire and The Humber,E06000014,York,816,Primary,50,11389,1664
Local authority,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Primary,77,11382,1516
Local authority,E12000002,North West,E08000006,Salford,355,Secondary,14,13269,3414
Local authority,E12000008,South East,E06000038,Reading,870,PRU/Academy/Free school AP,1,80,79
Local authority,E12000004,East Midlands,E06000061,North Northamptonshire,940,Secondary,15,15997,4296
Local authority,E12000002,North West,E06000063,Cumberland,942,Secondary,16,13544,3549
Local authority,E12000002,North West,E08000007,Stockport,356,Special,7,703,244
Local authority,E12000002,North West,E08000008,Tameside,357,Secondary,16,15327,3541
Local authority,E12000005,West Midlands,E08000029,Solihull,334,Primary,57,16675,2472
Local authority,E12000006,East of England,E06000033,Southend-on-Sea,882,Primary,27,11349,1943
Local authority,E12000006,East of England,E10000015,Hertfordshire,919,Secondary,66,60147,11798
Local authority,E12000004,East Midlands,E10000007,Derbyshire,830,Special,9,794,256
Local authority,E12000002,North West,E06000064,Westmorland and Furness,943,Primary,114,11704,1739
Local authority,E12000005,West Midlands,E08000026,Coventry,331,Primary,83,26511,4539
Local authority,E12000007,London,E09000015,Harrow,310,Secondary,9,10435,2028
Local authority,E12000008,South East,E10000011,East Sussex,845,Special,12,1246,448
Local authority,E12000007,London,E09000011,Greenwich,203,Primary,48,16009,2420
Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Primary,205,54564,9021
Local authority,E12000004,East Midlands,E06000015,Derby,831,Primary,72,20440,3476
Local authority,E12000002,North West,E08000014,Sefton,343,Primary,74,18127,3293
Local authority,E12000004,East Midlands,E06000016,Leicester,856,Special,8,1300,601
Local authority,E12000002,North West,E06000006,Halton,876,Primary,43,7761,1354
Local authority,E12000002,North West,E10000017,Lancashire,888,Secondary,66,54204,13504
Local authority,E12000008,South East,E06000060,Buckinghamshire,825,Primary,168,35814,5286
Local authority,E12000008,South East,E10000016,Kent,886,Secondary,71,69383,18160
Local authority,E12000002,North West,E08000001,Bolton,350,Primary,91,23211,3779
Local authority,E12000006,East of England,E10000029,Suffolk,935,Primary,244,46105,7364
Local authority,E12000006,East of England,E10000003,Cambridgeshire,873,Primary,209,44824,6451
Local authority,E12000008,South East,E06000044,Portsmouth,851,Primary,45,13565,2027
Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Primary,62,17902,3345
Local authority,E12000006,East of England,E10000012,Essex,881,Primary,395,92644,14453
