geographic_level,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,ytd_enrolments,pa_flag
Local authority,E12000002,North West,E08000005,Rochdale,354,Primary,65,17826,3374
Local authority,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,Secondary,39,30177,7732
Local authority,E12000001,North East,E06000057,Northumberland,929,Primary,117,15887,2709
Local authority,E12000009,South West,E06000030,Swindon,866,Primary,64,17220,2487
Local authority,E12000006,East of England,E10000012,Essex,881,Secondary,55,57019,14195
Local authority,E12000007,London,E09000016,Havering,311,Primary,48,16719,2676
Local authority,E12000007,London,E09000031,Waltham Forest,320,Primary,41,14509,2296
Local authority,E12000002,North West,E08000004,Oldham,353,Secondary,13,16107,4022
Local authority,E12000005,West Midlands,E08000025,Birmingham,330,Primary,267,85783,15911
Local authority,E12000008,South East,E10000032,West Sussex,938,Primary,216,53116,7741
Local authority,E12000005,West Midlands,E10000031,Warwickshire,937,Primary,183,38110,5850
Local authority,E12000002,North West,E08000012,Liverpool,341,Special,11,1613,623
Local authority,E12000008,South East,E10000014,Hampshire,850,Primary,375,81313,10084
Local authority,E12000009,South West,E06000025,South Gloucestershire,803,Primary,83,18296,2590
Local authority,E12000009,South West,E06000026,Plymouth,879,Secondary,17,13755,4022
Local authority,E12000007,London,E09000010,Enfield,308,Primary,61,22324,3435
Local authority,E12000001,North East,E06000001,Hartlepool,805,Primary,30,6736,1283
Local authority,E12000002,North West,E06000049,Cheshire East,895,Secondary,23,21596,5478
Local authority,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Secondary,14,10527,2833
Local authority,E12000002,North West,E08000007,Stockport,356,Primary,77,19847,3225
Local authority,E12000009,South West,E06000054,Wiltshire,865,Primary,173,27676,3814
Local authority,E12000002,North West,E08000009,Trafford,358,Special,8,811,264
Local authority,E12000006,East of England,E06000031,Peterborough,874,Secondary,14,15070,3615
Local authority,E12000009,South West,E10000013,Gloucestershire,916,Primary,229,39163,5994
Local authority,E12000002,North West,E08000002,Bury,351,Primary,61,13368,2051
Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,Primary,68,12014,1986
Local authority,E12000002,North West,E08000004,Oldham,353,Primary,88,21781,4022
Local authority,E12000007,London,E09000012,Hackney,204,Primary,38,9868,1634
Local authority,E12000002,North West,E08000010,Wigan,359,Primary,91,20767,3379
Local authority,E12000002,North West,E08000010,Wigan,359,Special,3,255,124
Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Primary,70,15577,2678
Local authority,E12000001,North East,E06000002,Middlesbrough,806,Secondary,8,8944,2814
Local authority,E12000008,South East,E06000046,Isle of Wight,921,Primary,38,7580,1320
Local authority,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Primary,77,11431,1500
Local authority,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Primary,47,11716,1932
Local authority,E12000001,North East,E08000023,South Tyneside,393,Special,4,573,165
Local authority,E12000004,East Midlands,E06000061,North Northamptonshire,940,Secondary,15,16047,4334
Local authority,E12000002,North West,E06000063,Cumberland,942,Secondary,16,13583,3657
Local authority,E12000002,North West,E08000010,Wigan,359,Secondary,17,16805,4133
Local authority,E12000006,East of England,E10000015,Hertfordshire,919,Secondary,66,61684,12830
Local authority,E12000002,North West,E06000064,Westmorland and Furness,943,Primary,114,11759,1688
Local authority,E12000007,London,E09000011,Greenwich,203,Primary,48,16073,2560
Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,391,Secondary,15,13439,3952
Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Primary,205,54774,9266
Local authority,E12000004,East Midlands,E06000015,Derby,831,Primary,72,20550,3458
Local authority,E12000008,South East,E06000035,Medway,887,Primary,65,20556,3890
Local authority,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Primary,61,11450,1671
Local authority,E12000002,North West,E08000014,Sefton,343,Primary,74,18168,3284
Local authority,E12000002,North West,E10000017,Lancashire,888,Secondary,66,54372,13858
Local authority,E12000008,South East,E06000060,Buckinghamshire,825,Primary,168,36060,5297
Local authority,E12000008,South East,E10000016,Kent,886,Secondary,71,69565,18208
Local authority,E12000002,North West,E08000001,Bolton,350,Primary,91,23318,3766
Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Secondary,37,41758,10808
Local authority,E12000006,East of England,E10000029,Suffolk,935,Primary,244,46375,7340
Local authority,E12000006,East of England,E10000003,Cambridgeshire,873,Primary,209,45103,6498
Local authority,E12000008,South East,E06000044,Portsmouth,851,Primary,45,13646,2108
Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Primary,62,17964,3341
Local authority,E12000006,East of England,E10000012,Essex,881,Primary,395,93084,14604
Local authority,E12000005,West Midlands,E06000020,Telford and Wrekin,894,Primary,54,14418,2196
Local authority,E12000004,East Midlands,E06000062,West Northamptonshire,941,Secondary,19,23810,5466
Local authority,E12000007,London,E09000010,Enfield,308,Secondary,17,17547,3879
Local authority,E12000009,South West,E06000030,Swindon,866,Secondary,13,12970,3380
Local authority,E12000005,West Midlands,E06000051,Shropshire,893,Primary,119,17461,2718
Local authority,E12000001,North East,E06000004,Stockton-on-Tees,808,Secondary,13,12311,3492
Local authority,E12000009,South West,E06000024,North Somerset,802,Primary,52,11552,1861
Local authority,E12000007,London,E09000014,Haringey,309,Primary,52,13773,2256
Local authority,E12000008,South East,E06000060,Buckinghamshire,825,Secondary,27,26277,5551
Local authority,E12000009,South West,E06000052,Cornwall,908,Primary,229,33942,5663
Local authority,E12000009,South West,E06000059,Dorset,838,Primary,120,17831,2630
Local authority,E12000007,London,E09000028,Southwark,210,Primary,52,13107,1996
Local authority,E12000001,North East,E08000022,North Tyneside,392,Secondary,14,11339,2812
Local authority,E12000008,South East,E10000016,Kent,886,Primary,404,98835,17684
Local authority,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Primary,129,37758,6904
Local authority,E12000008,South East,E10000011,East Sussex,845,Primary,132,28554,4891
Local authority,E12000001,North East,E06000047,County Durham,840,Primary,183,29002,5516
Local authority,E12000009,South West,E06000027,Torbay,880,Primary,31,8291,1492
Local authority,E12000004,East Midlands,E06000018,Nottingham,892,Primary,74,22976,4706
Local authority,E12000008,South East,E06000045,Southampton,852,Secondary,12,12957,3596
Local authority,E12000007,London,E09000002,Barking and Dagenham,301,Primary,38,17398,3242
Local authority,E12000002,North West,E08000006,Salford,355,Primary,79,20649,3952
Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,Primary,145,43236,8063
Local authority,E12000001,North East,E08000024,Sunderland,394,Primary,63,13729,2619
Local authority,E12000008,South East,E10000025,Oxfordshire,931,Primary,224,42912,6016
Local authority,E12000004,East Midlands,E10000024,Nottinghamshire,891,Primary,261,54802,9027
Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Secondary,10,12680,3712
Local authority,E12000005,West Midlands,E08000030,Walsall,335,Special,5,512,156
Local authority,E12000006,East of England,E06000033,Southend-on-Sea,882,PRU/Academy/Free school AP,2,177,118
Local authority,E12000008,South East,E10000014,Hampshire,850,Secondary,65,69267,16776
Local authority,E12000007,London,E09000022,Lambeth,208,Primary,46,12857,2265
Local authority,E12000005,West Midlands,E10000034,Worcestershire,885,Secondary,45,34839,8310
Local authority,E12000002,North West,E10000017,Lancashire,888,Primary,424,76821,11959
Local authority,E12000006,East of England,E10000015,Hertfordshire,919,Primary,335,72060,10339
Local authority,E12000007,London,E09000017,Hillingdon,312,Primary,63,21948,3692
Local authority,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Primary,127,27601,4320
Local authority,E12000006,East of England,E10000020,Norfolk,926,Primary,310,47973,8075
Local authority,E12000008,South East,E10000030,Surrey,936,Secondary,49,50230,10833
Local authority,E12000005,West Midlands,E08000025,Birmingham,330,Secondary,72,64659,16211
Local authority,E12000004,East Midlands,E10000007,Derbyshire,830,Primary,301,43092,6833
Local authority,E12000002,North West,E08000008,Tameside,357,Primary,74,17304,2608
Local authority,E12000005,West Midlands,E10000028,Staffordshire,860,Primary,271,49665,7149
Local authority,E12000002,North West,E06000007,Warrington,877,Primary,64,14074,1715
Local authority,E12000008,South East,E06000045,Southampton,852,Primary,46,14011,2435
Local authority,E12000007,London,E09000006,Bromley,305,Secondary,12,12329,2924
Local authority,E12000001,North East,E06000001,Hartlepool,805,Secondary,4,5162,1469
Local authority,E12000007,London,E09000012,Hackney,204,Secondary,10,7293,1667
Local authority,E12000002,North West,E08000002,Bury,351,Secondary,12,11452,2937
Local authority,E12000004,East Midlands,E10000024,Nottinghamshire,891,Secondary,40,42782,11370
Local authority,E12000005,West Midlands,E08000028,Sandwell,333,Secondary,19,22405,5573
Local authority,E12000009,South West,E06000022,Bath and North East Somerset,800,Secondary,8,5861,1415
Local authority,E12000002,North West,E08000014,Sefton,343,Special,6,743,308
Local authority,E12000006,East of England,E10000020,Norfolk,926,Secondary,39,34623,9556
Local authority,E12000007,London,E09000026,Redbridge,317,Secondary,12,15029,2495
Local authority,E12000006,East of England,E10000015,Hertfordshire,919,PRU/Academy/Free school AP,6,349,285
Local authority,E12000007,London,E09000007,Camden,202,Secondary,9,7252,1912
Local authority,E12000006,East of England,E10000003,Cambridgeshire,873,Special,12,1571,615
Local authority,E12000008,South East,E10000011,East Sussex,845,Secondary,23,25060,7304
Local authority,E12000004,East Midlands,E10000019,Lincolnshire,925,Primary,276,48600,7307
Local authority,E12000002,North West,E08000009,Trafford,358,Secondary,18,15657,2642
Local authority,E12000005,West Midlands,E06000051,Shropshire,893,Secondary,20,15116,4101
Local authority,E12000004,East Midlands,E06000016,Leicester,856,Primary,74,26349,4732
Local authority,E12000006,East of England,E06000056,Central Bedfordshire,823,Primary,93,17536,2716
Local authority,E12000001,North East,E08000037,Gateshead,390,Primary,50,8997,1463
Local authority,E12000007,London,E09000021,Kingston upon Thames,314,Primary,29,9602,1315
Local authority,E12000009,South West,E06000025,South Gloucestershire,803,Secondary,15,14129,3470
Local authority,E12000005,West Midlands,E08000031,Wolverhampton,336,Primary,68,21140,3640
Local authority,E12000009,South West,E06000026,Plymouth,879,Primary,69,17340,2863
Local authority,E12000004,East Midlands,E06000061,North Northamptonshire,940,Primary,103,24548,3675
Local authority,E12000008,South East,E06000041,Wokingham,872,Primary,45,11472,1416
Local authority,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,Primary,279,35032,5060
Local authority,E12000005,West Midlands,E10000028,Staffordshire,860,Special,18,2163,655
Local authority,E12000006,East of England,E10000012,Essex,881,Special,17,2507,823
Local authority,E12000008,South East,E06000036,Bracknell Forest,867,Primary,26,7324,959
Local authority,E12000002,North West,E08000012,Liverpool,341,Primary,113,33350,6015
Local authority,E12000002,North West,E06000008,Blackburn with Darwen,889,Secondary,10,9610,2363
Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,811,Primary,117,18947,2787
Local authority,E12000001,North East,E06000047,County Durham,840,Secondary,25,22888,6984
Local authority,E12000002,North West,E06000049,Cheshire East,895,Primary,120,25065,3651
Local authority,E12000007,London,E09000018,Hounslow,313,Primary,47,18008,3014
Local authority,E12000006,East of England,E10000015,Hertfordshire,919,Special,21,2483,874
Local authority,E12000001,North East,E08000024,Sunderland,394,Special,6,763,316
Local authority,E12000004,East Midlands,E10000007,Derbyshire,830,Secondary,32,29492,7402
Local authority,E12000006,East of England,E06000055,Bedford,822,Primary,53,13891,1971
Local authority,E12000007,London,E09000027,Richmond upon Thames,318,Primary,41,12623,1360
Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Secondary,12,14532,4086
Local authority,E12000005,West Midlands,E08000027,Dudley,332,Primary,75,22057,3778
Local authority,E12000002,North West,E08000003,Manchester,352,Primary,132,42611,7447
Local authority,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Secondary,23,25657,6557
Local authority,E12000006,East of England,E06000031,Peterborough,874,Primary,60,18722,2886
Local authority,E12000007,London,E09000004,Bexley,303,Primary,50,15307,2327
Local authority,E12000008,South East,E10000030,Surrey,936,Primary,279,71078,9854
Local authority,E12000004,East Midlands,E06000017,Rutland,857,Primary,16,2164,226
Local authority,E12000001,North East,E06000003,Redcar and Cleveland,807,Primary,44,9298,1626
Local authority,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Secondary,14,8846,2221
Local authority,E12000007,London,E09000025,Newham,316,Primary,63,24873,5142
Local authority,E12000006,East of England,E10000020,Norfolk,926,PRU/Academy/Free school AP,2,500,440
Local authority,E12000004,East Midlands,E06000062,West Northamptonshire,941,Primary,134,28197,3863
Local authority,E12000008,South East,E06000040,Windsor and Maidenhead,868,Primary,46,8637,1135
