time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,phase,total_num_schools
2022,August,National,E92000001,England,,,,,,Secondary,3401
2022,August,National,E92000001,England,,,,,,Independent school,2420
2022,August,National,E92000001,England,,,,,,Special,1072
2022,August,National,E92000001,England,,,,,,Nursery,385
2022,August,National,E92000001,England,,,,,,PRU/Academy/Free school AP,336
2022,August,National,E92000001,England,,,,,,Primary,16749
2022,August,National,E92000001,England,,,,,,16_plus,65
2022,August,Regional,E92000001,England,E12000009,South West,,,,PRU/Academy/Free school AP,35
2022,August,Regional,E92000001,England,E12000004,East Midlands,,,,Nursery,32
2022,August,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,415
2022,August,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,16_plus,10
2022,August,Regional,E92000001,England,E12000009,South West,,,,Special,92
2022,August,Regional,E92000001,England,E12000002,North West,,,,16_plus,9
2022,August,Regional,E92000001,England,E12000006,East of England,,,,Independent school,226
2022,August,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,322
2022,August,Regional,E92000001,England,E12000008,South East,,,,Independent school,561
2022,August,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,PRU/Academy/Free school AP,36
2022,August,Regional,E92000001,England,E12000004,East Midlands,,,,Special,87
2022,August,Regional,E92000001,England,E12000002,North West,,,,PRU/Academy/Free school AP,49
2022,August,Regional,E92000001,England,E12000007,London,,,,Independent school,540
2022,August,Regional,E92000001,England,E12000004,East Midlands,,,,PRU/Academy/Free school AP,22
2022,August,Regional,E92000001,England,E12000004,East Midlands,,,,Independent school,167
2022,August,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Independent school,145
2022,August,Regional,E92000001,England,E12000006,East of England,,,,16_plus,5
2022,August,Regional,E92000001,England,E12000002,North West,,,,Special,172
2022,August,Regional,E92000001,England,E12000007,London,,,,16_plus,14
2022,August,Regional,E92000001,England,E12000008,South East,,,,Primary,2785
2022,August,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,1769
2022,August,Regional,E92000001,England,E12000009,South West,,,,Independent school,223
2022,August,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,289
2022,August,Regional,E92000001,England,E12000009,South West,,,,Nursery,18
2022,August,Regional,E92000001,England,E12000007,London,,,,Special,158
2022,August,Regional,E92000001,England,E12000001,North East,,,,Secondary,214
2022,August,Regional,E92000001,England,E12000005,West Midlands,,,,Nursery,56
2022,August,Regional,E92000001,England,E12000006,East of England,,,,Primary,1983
2022,August,Regional,E92000001,England,E12000006,East of England,,,,Nursery,38
2022,August,Regional,E92000001,England,E12000008,South East,,,,Special,192
2022,August,Regional,E92000001,England,E12000006,East of England,,,,Special,110
2022,August,Regional,E92000001,England,E12000009,South West,,,,Primary,1883
2022,August,Regional,E92000001,England,E12000006,East of England,,,,PRU/Academy/Free school AP,36
2022,August,Regional,E92000001,England,E12000001,North East,,,,Primary,1055
