time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,attendance_date,day_number,school_type,week_commencing,num_schools,enrolments,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_not_attending_planned_closed,reason_y_not_attending_enforced_closure,reason_z_not_attending_not_on_roll,reason_f_legacy_family_holiday,academic_year
2023,Week 37,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,2023-09-15,5,Secondary,2023-09-11,16,15513,28102,76,28178,2369,1235,1134,1023,30547,13315,13794,27109,993,818,83,0,0,0,8,55,271,53,69,2,9,10,2,140,30,715,249,0,10,70,0,202223
2023,Week 37,Local authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,846,2023-09-12,2,Secondary,2023-09-11,6,7231,13098,152,13250,935,615,320,695,14185,6076,6347,12423,675,468,40,0,0,0,0,10,97,148,60,0,2,2,0,28,20,224,48,0,0,40,0,202223
2023,Week 37,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,2023-09-14,4,Primary,2023-09-11,100,23086,43789,134,43923,1684,1070,614,290,45607,21818,21724,43542,247,822,84,0,0,0,8,24,132,16,13,1,0,117,0,259,43,268,44,0,8,41,0,202223
2023,Week 37,Local authority,E92000001,England,E12000007,London,E09000017,Hillingdon,312,2023-09-15,5,Special,2023-09-11,6,649,902,134,1036,148,101,47,6,1184,446,452,898,4,54,19,0,0,0,2,0,26,134,0,0,0,0,0,0,2,27,18,0,94,10,0,202223
2023,Week 37,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,2023-09-15,5,Primary,2023-09-11,109,30971,57486,244,57730,3493,1717,1776,652,61223,28262,28645,56907,579,1194,162,0,4,0,28,11,318,24,13,0,32,188,0,712,73,826,165,0,4,104,0,202223
2023,Week 37,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,841,2023-09-11,1,Primary,2023-09-11,24,5721,10687,30,10717,544,317,227,72,11261,5293,5334,10627,60,178,16,0,0,84,12,4,23,2,14,0,0,28,0,134,12,47,34,0,0,72,0,202223
2023,Week 37,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,341,2023-09-15,5,Special,2023-09-11,10,1390,2186,11,2197,258,131,127,34,2455,1091,1068,2159,27,73,9,0,0,0,1,4,42,9,0,0,0,2,0,16,7,87,17,0,16,0,2,202223
2023,Week 37,Local authority,E92000001,England,E12000008,South East,E06000045,Southampton,852,2023-09-14,4,PRU/Academy/Free school AP,2023-09-11,1,72,57,7,64,78,52,26,9,142,23,28,51,6,10,1,0,0,0,0,0,41,7,0,0,0,0,0,0,3,23,0,0,0,0,0,202223
2023,Week 37,Local authority,E92000001,England,E12000008,South East,E10000016,Kent,886,2023-09-12,2,Independent school,2023-09-11,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,202223
2023,Week 37,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,841,2023-09-15,5,Special,2023-09-11,2,336,601,6,607,57,28,29,2,664,298,302,600,1,20,2,0,0,2,0,0,4,6,0,0,0,0,0,0,1,28,0,0,6,0,0,202223
