time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,attendance_date,day_number,school_type,week_commencing,num_schools,enrolments,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_not_attending_planned_closed,reason_y_not_attending_enforced_closure,reason_x_not_attending_covid_non_compulsory,reason_z_not_attending_not_on_roll,reason_f_legacy_family_holiday
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E06000046,Isle of Wight,921,2022-09-14T00:00:00.000Z,3,Primary,12/09/2022,31,6142,11458,29,11487,498,278,220,95,11985,5649,5738,11387,71,215,20,0,0,0,8,0,29,13,14,0,0,16,0,46,24,124,26,0,0,6,28,0
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,2022-09-15T00:00:00.000Z,4,PRU/Academy/Free school AP,12/09/2022,1,34,22,2,24,33,30,3,1,57,8,13,21,1,3,0,0,0,0,0,0,27,2,1,0,0,0,0,0,0,1,2,0,0,0,10,0
2022,Week 37,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,2022-09-15T00:00:00.000Z,4,Primary,12/09/2022,54,9981,18586,367,18953,951,670,281,111,19904,9285,9219,18504,82,570,35,0,0,0,8,6,50,98,6,0,0,269,0,106,29,130,16,0,0,1,12,0
2022,Week 37,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,2022-09-15T00:00:00.000Z,4,Primary,12/09/2022,34,9739,17782,495,18277,1007,520,487,164,19284,8784,8839,17623,159,459,26,0,0,0,3,0,31,10,23,0,302,183,0,226,5,238,18,0,0,1,42,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000001,City of London,201,2022-09-15T00:00:00.000Z,4,Primary,12/09/2022,1,206,384,4,388,22,18,4,9,410,181,194,375,9,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,16,2,0
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,2022-09-16T00:00:00.000Z,5,Secondary,12/09/2022,12,12071,20555,75,20630,1326,663,663,339,21956,10044,10209,20253,302,458,42,0,0,0,4,47,110,69,108,0,2,4,0,82,37,524,20,0,0,2,102,0
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E08000001,Bolton,350,2022-09-12T00:00:00.000Z,1,Secondary,12/09/2022,16,16257,29475,72,29547,1621,903,718,928,31168,13737,14853,28590,885,633,69,0,0,0,12,17,172,64,132,0,4,4,0,234,43,355,86,0,12,0,258,0
2022,Week 37,Local authority,E92000001,England,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,2022-09-12T00:00:00.000Z,1,Secondary,12/09/2022,10,10268,18851,59,18910,1248,434,814,441,20158,9057,9376,18433,418,278,30,0,0,0,6,44,70,59,99,0,0,0,0,124,23,576,91,0,0,6,132,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000014,Haringey,309,2022-09-14T00:00:00.000Z,3,Special,12/09/2022,2,178,305,2,307,47,41,6,7,354,146,152,298,7,21,2,0,0,0,0,0,18,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,2022-09-14T00:00:00.000Z,3,Primary,12/09/2022,102,21742,40102,295,40397,1453,1187,266,168,41850,19963,19986,39949,153,940,81,2,2,4,48,1,106,17,14,0,34,244,0,114,15,109,28,0,4,3,87,0
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,2022-09-16T00:00:00.000Z,5,PRU/Academy/Free school AP,12/09/2022,4,247,160,34,194,238,144,94,33,432,57,85,142,18,30,0,0,0,2,0,18,94,27,20,2,0,0,5,0,15,77,2,0,0,0,32,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000006,Bromley,305,2022-09-12T00:00:00.000Z,1,Secondary,12/09/2022,10,10142,18709,142,18851,1254,769,485,641,20105,8865,9235,18100,609,493,63,0,0,0,4,23,186,85,48,1,4,52,0,40,32,392,21,0,0,0,32,0
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,851,2022-09-15T00:00:00.000Z,4,Primary,12/09/2022,39,11300,21408,37,21445,971,622,349,199,22416,10541,10699,21240,168,512,40,0,0,0,13,2,54,8,43,0,0,29,0,129,31,169,20,0,1,1,102,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000031,Waltham Forest,320,2022-09-15T00:00:00.000Z,4,Primary,12/09/2022,28,10105,18833,7,18840,1078,631,447,223,19918,9207,9415,18622,211,474,52,0,0,6,0,0,88,6,4,0,0,1,0,114,12,252,69,0,0,11,132,0
2022,Week 37,Local authority,E92000001,England,E12000001,North East,E06000047,County Durham,840,2022-09-16T00:00:00.000Z,5,Secondary,12/09/2022,16,13756,24475,265,24740,2352,1375,977,434,27092,11956,12100,24056,419,1089,76,0,0,0,14,43,153,241,188,1,17,6,0,179,15,726,57,0,0,0,94,0
2022,Week 37,Local authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,800,2022-09-12T00:00:00.000Z,1,Special,12/09/2022,2,280,497,11,508,52,40,12,2,560,250,245,495,2,22,1,0,0,0,2,2,11,11,0,0,0,0,0,0,0,10,2,0,0,2,0,0
2022,Week 37,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,2022-09-15T00:00:00.000Z,4,Primary,12/09/2022,176,45341,85371,317,85688,3699,2267,1432,755,89387,42008,42678,84686,685,1771,158,0,0,2,26,9,278,163,24,0,4,150,0,637,70,477,248,0,21,23,290,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000014,Haringey,309,2022-09-15T00:00:00.000Z,4,Secondary,12/09/2022,4,4892,8937,20,8957,697,328,369,221,9654,4256,4462,8718,219,223,45,0,0,0,0,14,40,18,44,0,2,0,0,39,2,189,139,0,0,6,72,0
2022,Week 37,Local authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",801,2022-09-16T00:00:00.000Z,5,Special,12/09/2022,4,615,1045,5,1050,171,111,60,11,1221,513,523,1036,9,66,4,0,0,0,13,2,26,5,0,0,0,0,0,4,2,27,27,0,2,0,2,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000021,Kingston upon Thames,314,2022-09-16T00:00:00.000Z,5,Primary,12/09/2022,20,6709,12453,58,12511,633,478,155,116,13144,6150,6196,12346,107,380,29,4,1,0,2,0,54,7,0,1,0,50,0,27,9,114,5,0,0,8,160,0
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E10000011,East Sussex,845,2022-09-15T00:00:00.000Z,4,Primary,12/09/2022,101,21670,40094,476,40570,1810,1365,445,330,42380,19783,20026,39809,285,1078,91,0,0,4,22,4,144,17,36,2,27,430,0,182,45,190,28,0,8,22,106,0
2022,Week 37,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,2022-09-15T00:00:00.000Z,4,Special,12/09/2022,7,1234,2206,2,2208,225,168,57,2,2433,1117,1088,2205,1,106,22,0,0,0,4,0,36,1,0,0,0,1,0,10,1,46,0,0,1,0,0,0
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000018,Hounslow,313,2022-09-15T00:00:00.000Z,4,Primary,12/09/2022,42,15518,28459,458,28917,1596,1059,537,333,30513,13931,14222,28153,306,819,52,1,0,4,6,6,149,110,2,163,0,185,0,178,27,282,50,0,0,22,389,0
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,341,2022-09-16T00:00:00.000Z,5,PRU/Academy/Free school AP,12/09/2022,2,196,247,4,251,128,22,106,24,379,102,121,223,24,10,0,0,0,0,0,10,2,2,0,2,0,0,0,2,0,64,40,0,0,0,2,0
2022,Week 37,Local authority,E92000001,England,E12000009,South West,E10000008,Devon,878,2022-09-15T00:00:00.000Z,4,Secondary,12/09/2022,29,27448,49879,567,50446,3921,2625,1296,1001,54367,24441,24516,48957,922,1863,171,0,0,6,12,107,465,116,163,2,20,421,8,65,79,1038,114,0,0,1,152,0
2022,Week 37,Local authority,E92000001,England,E12000009,South West,E06000030,Swindon,866,2022-09-12T00:00:00.000Z,1,Special,12/09/2022,6,434,725,34,759,85,64,21,2,844,363,360,723,2,24,8,0,0,0,4,0,28,34,16,0,0,0,0,0,0,19,2,0,0,0,0,0
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,2022-09-16T00:00:00.000Z,5,Special,12/09/2022,12,1416,1961,56,2017,317,234,83,21,2334,973,968,1941,20,112,9,0,0,0,2,26,85,44,4,0,0,8,4,4,1,75,3,436,34,0,8,0
